案件編號,派工項目,案件地址,立案日期,立案時間
2022120100001,場所與設施噪音舉發,中山區臺北市中山區正義里012鄰林森北路１３３巷３５號,20221201,000400
2022120100002,場所與設施噪音舉發,中山區玉門街1號,20221201,000500
2022120100003,污染舉發,士林區111台灣台北市士林區大東路131號,20221201,000400
2022120100004,場所與設施噪音舉發,中正區臺北市中正區頂東里014鄰晉江街４８巷４弄２號,20221201,000600
2022120100005,大型廢棄物清運聯繫,中山區10491台灣台北市中山區吉林路345號,20221201,000600
2022120100006,場所與設施噪音舉發,信義區臺北市信義區敦厚里001鄰基隆路一段１０１巷２號,20221201,000900
2022120100007,交通號誌異常,中正區愛國西路-羅斯福路一段,20221201,001800
2022120100008,交通號誌異常,中正區羅斯福路一段-愛國東路,20221201,001500
2022120100009,交通號誌異常,文山區辛亥路五段-興隆路二段,20221201,001700
2022120100011,交通號誌異常,中正區愛國西路-羅斯福路一段,20221201,001700
2022120100012,場所與設施噪音舉發,信義區臺北市信義區五全里006鄰永吉路２７６號,20221201,002000
2022120100013,路燈故障或設施損壞,文山區興隆路二段275巷1弄,20221201,001900
2022120100014,路燈故障或設施損壞,文山區興隆路二段,20221201,002200
2022120100015,場所與設施噪音舉發,信義區臺北市信義區永春里005鄰忠孝東路五段７８３號,20221201,002500
2022120100016,路燈故障或設施損壞,文山區台北市文山區辛亥路四段,20221201,003300
2022120100017,場所與設施噪音舉發,中山區新生北路一段-渭水路,20221201,005100
2022120100018,大型廢棄物清運聯繫,松山區臺北市松山區自強里010鄰三民路８０巷１０號,20221201,010200
2022120100019,道路散落物或油漬處理,內湖區民權東路六段26號,20221201,010300
2022120100020,場所與設施噪音舉發,信義區臺北市信義區松友里003鄰信義路六段７８號,20221201,010500
2022120100021,場所與設施噪音舉發,中山區松江路-新生北路一段,20221201,013700
2022120100022,場所與設施噪音舉發,中山區臺北市中山區晴光里013鄰雙城街３２巷８號,20221201,013800
2022120100023,場所與設施噪音舉發,中山區臺北市中山區朱園里021鄰松江路１號,20221201,014100
2022120100024,大型廢棄物清運聯繫,大同區臺北市大同區建功里006鄰重慶北路一段８３巷３１號,20221201,020300
2022120100025,場所與設施噪音舉發,中正區臺北市中正區光復里008鄰博愛路１１３號,20221201,022300
2022120100026,場所與設施噪音舉發,中山區臺北市中山區江山里002鄰合江街１００之１號,20221201,025900
2022120100027,場所與設施噪音舉發,大同區臺北市大同區永樂里010鄰民樂街１９號,20221201,040600
2022120100028,場所與設施噪音舉發,中山區10491台灣台北市中山區中山北路一段135巷32號,20221201,041200
2022120100029,場所與設施噪音舉發,信義區110台灣台北市信義區嘉興街129號,20221201,044600
2022120100031,場所與設施噪音舉發,北投區臺北市北投區建民里015鄰文林北路２２５號,20221201,060800
2022120100032,用戶無水、漏水報修,信義區臺北市信義區松光里012鄰忠孝東路五段５２４巷３弄５號,20221201,072000
2022120100033,交通號誌異常,北投區大業路-大度路,20221201,073600
2022120100034,道路散落物或油漬處理,大同區臺北市大同區隆和里004鄰重慶北路三段２號,20221201,073700
2022120100035,大型廢棄物清運聯繫,內湖區碧山路40號,20221201,074800
2022120100036,場所與設施噪音舉發,中山區臺北市中山區力行里029鄰朱崙街７號,20221201,074700
2022120100037,大型廢棄物清運聯繫,大安區臺北市大安區黎孝里008鄰樂業街１５９巷５４號,20221201,075100
2022120100038,大型廢棄物清運聯繫,大安區臺北市大安區華聲里009鄰忠孝東路四段３２９號,20221201,080400
2022120100039,場所與設施噪音舉發,中山區臺北市中山區正得里006鄰中山北路一段３３巷３９號,20221201,081300
2022120100040,交通號誌異常,大同區承德路二段-民生西路,20221201,081400
2022120100041,大型廢棄物清運聯繫,內湖區內湖路二段179巷75弄1號,20221201,081600
2022120100042,大型廢棄物清運聯繫,信義區臺北市信義區景新里002鄰吳興街１９１號,20221201,081700
2022120100044,大型廢棄物清運聯繫,中山區臺北市中山區江山里006鄰合江街１３０巷２３號,20221201,082400
2022120100045,大型廢棄物清運聯繫,松山區臺北市松山區精忠里016鄰民生東路四段７５巷５弄５號,20221201,082900
2022120100046,交通號誌異常,大同區承德路二段-承德路二段75巷,20221201,083300
2022120100048,大型廢棄物清運聯繫,信義區臺北市信義區雙和里001鄰吳興街２８４巷３之７號,20221201,084000
2022120100049,污染舉發,內湖區民權東路六段15巷16號,20221201,084700
2022120100052,交通號誌電纜線垂落及設施損壞,士林區忠誠路二段207巷,20221201,085900
2022120100053,大型廢棄物清運聯繫,士林區臺北市士林區聖山里015鄰德行東路１９０巷６弄１２號,20221201,090400
2022120100054,場所與設施噪音舉發,大安區臺北市大安區通化里009鄰光復南路６２０號,20221201,090800
2022120100055,大型廢棄物清運聯繫,內湖區114台灣台北市內湖區民權東路六段90巷25弄41號,20221201,090500
2022120100056,人孔蓋(含周邊)破損、遺失處理,信義區臺北市信義區黎順里018鄰基隆路二段１５５號,20221201,090600
2022120100057,大型廢棄物清運聯繫,內湖區臺北市內湖區西安里007鄰環山路一段１３６巷１２弄３號,20221201,091100
2022120100058,場所與設施噪音舉發,松山區臺北市松山區復源里011鄰八德路三段１５８巷１２號,20221201,091900
2022120100059,鄰里無主垃圾清運,大安區臺北市大安區龍淵里028鄰和平東路二段７６巷２３弄２之２號,20221201,092200
2022120100060,鄰里無主垃圾清運,松山區臺北市松山區莊敬里012鄰撫遠街３７４號,20221201,092400
2022120100061,道路散落物或油漬處理,大安區溫州街16巷-和平東路一段248巷,20221201,092200
2022120100062,大型廢棄物清運聯繫,信義區臺北市信義區景新里002鄰吳興街１９１號,20221201,092700
2022120100063,大型廢棄物清運聯繫,中正區臺北市中正區螢雪里010鄰詔安街３６之２號,20221201,092800
2022120100064,場所與設施噪音舉發,內湖區臺北市內湖區港富里028鄰內湖路一段７３７巷５１弄１０號,20221201,092800
2022120100066,大型廢棄物清運聯繫,信義區臺北市信義區松光里001鄰忠孝東路五段５０８號,20221201,093500
2022120100067,場所與設施噪音舉發,文山區興隆路三段269巷1弄,20221201,093200
2022120100068,場所與設施噪音舉發,松山區臺北市松山區復勢里003鄰寧安街７巷２號,20221201,093300
2022120100070,大型廢棄物清運聯繫,信義區臺北市信義區新仁里009鄰忠孝東路四段５５９巷５１號,20221201,093800
2022120100071,場所與設施噪音舉發,士林區臺北市士林區福華里024鄰福港街２７７巷１０弄１號,20221201,094300
2022120100072,場所與設施噪音舉發,士林區臺北市士林區富洲里010鄰延平北路九段１２２號,20221201,095800
2022120100073,場所與設施噪音舉發,士林區臺北市士林區富洲里010鄰延平北路九段１２０號,20221201,095800
2022120100074,場所與設施噪音舉發,萬華區臺北市萬華區錦德里008鄰寶興街１４０巷４６號,20221201,095900
2022120100075,大型廢棄物清運聯繫,大安區臺北市大安區龍生里008鄰和平東路二段１０７巷１１弄４號,20221201,095900
2022120100076,大型廢棄物清運聯繫,文山區臺北市文山區興福里008鄰景興路２３巷６弄１１號,20221201,100000
2022120100077,大型廢棄物清運聯繫,內湖區臺北市內湖區金瑞里011鄰內湖路三段３２９巷４弄６號,20221201,100300
2022120100079,大型廢棄物清運聯繫,士林區臺北市士林區名山里002鄰雨聲街２巷１號,20221201,101600
2022120100080,鄰里無主垃圾清運,信義區臺北市信義區西村里008鄰信義路五段１５號,20221201,101900
2022120100081,場所與設施噪音舉發,萬華區中華路二段416巷66弄,20221201,101700
2022120100082,場所與設施噪音舉發,萬華區臺北市萬華區萬壽里003鄰漢中街５０巷６號,20221201,102000
2022120100083,污染舉發,士林區臺北市士林區福佳里005鄰華榮街１１號,20221201,103100
