案件編號,派工項目,案件地址,立案日期,立案時間
202405311,場所與設施噪音舉發,中山區臺北市中山區正義里005鄰林森北路８５巷６１號1樓,20240531,235512
202405311,大型廢棄物清運聯繫,士林區臺北市士林區德行里006鄰福國路１５巷２０號,20240531,235432
202405311,污染舉發,大安區臺北市大安區通化里009鄰光復南路６２６號,20240531,235255
202405311,場所與設施噪音舉發,松山區民權東路四段-新中街,20240531,234405
202405311,場所與設施噪音舉發,中山區臺北市中山區新福里020鄰民權東路二段１號二樓,20240531,234544
202405311,道路散落物或油漬處理,萬華區中興橋引道,20240531,232747
202405311,大型廢棄物清運聯繫,大安區臺北市大安區龍安里009鄰青田街７巷４之３號1樓,20240531,232344
202405311,污染舉發,信義區臺北市信義區六藝里005鄰永吉路１２０巷４５號,20240531,232318
202405311,場所與設施噪音舉發,大安區臺北市大安區民炤里007鄰新生南路一段１５１巷１８之１號1樓,20240531,232742
202405311,大型廢棄物清運聯繫,士林區臺北市士林區社新里019鄰社子街２２巷４７弄３號四樓,20240531,231333
202405311,大型廢棄物清運聯繫,內湖區臺北市內湖區西安里011鄰環山路一段６６號二樓,20240531,231319
202405311,大型廢棄物清運聯繫,內湖區臺北市內湖區紫雲里017鄰康寧路一段２９０號九樓之3,20240531,230059
202405311,場所與設施噪音舉發,文山區臺北市文山區景東里026鄰景興路１５３巷１７號五樓之8,20240531,225750
202405311,動物救援,內湖區臺北市內湖區瑞光里007鄰江南街７１巷６５弄２１號二樓,20240531,225828
202405311,大型廢棄物清運聯繫,大安區臺北市大安區學府里002鄰羅斯福路四段１１９巷５８號1樓,20240531,225323
202405311,大型廢棄物清運聯繫,南港區臺北市南港區中南里013鄰中南街１４０之６號五樓,20240531,224646
202405311,用戶無水、漏水報修,文山區臺北市文山區景華里019鄰三福街４巷９號1樓,20240531,223459
202405311,路燈故障或設施損壞,大安區金山南路二段203巷,20240531,222953
202405311,場所與設施噪音舉發,士林區德行東路109巷-德行東路,20240531,223012
202405311,場所與設施噪音舉發,中山區臺北市中山區金泰里001鄰敬業三路１６８號,20240531,221350
202405311,大型廢棄物清運聯繫,文山區臺北市文山區樟文里012鄰木新路三段３１０巷６弄５號二樓,20240531,221141
202405311,交通標誌及設施物損壞(含汙損)、傾斜,萬華區中華路一段-中華路一段9巷,20240531,220939
202405311,大型廢棄物清運聯繫,大同區臺北市大同區鄰江里017鄰迪化街二段１９１巷２３號五樓,20240531,220459
202405311,污染舉發,松山區臺北市松山區敦化里001鄰敦化南路一段７號十樓,20240531,220112
202405311,大型廢棄物清運聯繫,信義區臺北市信義區敦厚里020鄰永吉路３０巷１１９弄１４號1樓,20240531,215500
202405311,場所與設施噪音舉發,大安區臺北市大安區光武里006鄰敦化南路一段１９０巷１７號,20240531,214706
202405311,場所與設施噪音舉發,中山區臺北市中山區新福里020鄰新生北路三段１號2樓,20240531,213901
202405311,大型廢棄物清運聯繫,士林區臺北市士林區蘭雅里021鄰中山北路六段１８６巷３１號三樓,20240531,213902
202405311,大型廢棄物清運聯繫,松山區臺北市松山區民有里032鄰民權東路三段１６０巷２之２號1樓,20240531,214037
202405311,道路散落物或油漬處理,南港區臺北市南港區九如里010鄰研究院路三段２４５號,20240531,214126
