案件編號,派工項目,案件地址,立案日期,立案時間
2017120100001,道路散落物或油漬處理,內湖區內湖三軍總醫院大門口斜對面全家便利商店前方車道上,20171201,001900
2017120100002,場所與設施噪音舉發,信義區與福德街交叉口,20171201,001000
2017120100003,交通號誌異常,中正區寶慶路 博愛路,20171201,001400
2017120100004,場所與設施噪音舉發,文山區巷口,20171201,001400
2017120100005,場所與設施噪音舉發,信義區,20171201,001700
2017120100006,場所與設施噪音舉發,士林區交叉路口:  大南路  小東街,20171201,002100
2017120100007,污染舉發,文山區文山區羅斯福路六段437號,20171201,005100
2017120100008,場所與設施噪音舉發,中山區,20171201,004300
2017120100009,路樹處理,中正區100台灣台北市中正區同安街72巷21-1號,20171201,010400
2017120100010,道路散落物或油漬處理,內湖區民權大橋上 往東湖方向 內線車道  快下橋處,20171201,011300
2017120100011,大型廢棄物清運聯繫,文山區,20171201,014000
2017120100012,場所與設施噪音舉發,信義區,20171201,023000
2017120100013,場所與設施噪音舉發,北投區捷運北投站,20171201,023800
2017120100014,場所與設施噪音舉發,信義區,20171201,024300
2017120100015,場所與設施噪音舉發,松山區 市民大道四段163號,20171201,024700
2017120100016,場所與設施噪音舉發,大同區燒肉店,20171201,024700
2017120100017,場所與設施噪音舉發,內湖區,20171201,030100
2017120100018,大型廢棄物清運聯繫,南港區,20171201,030400
2017120100019,場所與設施噪音舉發,大安區咖啡廳 ,20171201,040300
2017120100020,道路散落物或油漬處理,北投區巷口,20171201,050900
2017120100021,道路散落物或油漬處理,萬華區附近、在路中央,20171201,060000
2017120100022,污染舉發,中山區薑母鴨店,20171201,060300
2017120100023,路燈故障或設施損壞,中山區,20171201,061100
2017120100024,鄰里無主垃圾清運,萬華區轉角處,20171201,063300
2017120100025,場所與設施噪音舉發,內湖區後面巷子,20171201,062400
2017120100026,大型廢棄物清運聯繫,信義區,20171201,062200
2017120100027,場所與設施噪音舉發,內湖區,20171201,062700
2017120100028,道路散落物或油漬處理,大同區鄭州路與西寧北路交叉口,20171201,063500
2017120100029,用戶無水、漏水報修,萬華區整棟,20171201,065000
2017120100030,路燈故障或設施損壞,大同區市民大道底 出三號,20171201,070900
