案件編號,派工項目,案件地址,立案日期,立案時間
2022090100001,場所與設施噪音舉發,中山區臺北市中山區正義里007鄰林森北路１０７巷４６號,20220901,000800
2022090100002,大型廢棄物清運聯繫,士林區111台灣台北市士林區通河西街二段16巷2號,20220901,001000
2022090100003,大型廢棄物清運聯繫,南港區台北市南港區忠孝東路七段527巷2–4號,20220901,001100
2022090100004,場所與設施噪音舉發,文山區指南路三段38巷,20220901,001600
2022090100005,大型廢棄物清運聯繫,文山區台北市文山區興隆路一段70巷9弄16號,20220901,002500
2022090100007,污染舉發,大同區臺北市大同區民權里006鄰民權西路１６０巷５號,20220901,003100
2022090100008,場所與設施噪音舉發,中山區臺北市中山區正義里007鄰林森北路１０７巷４６號,20220901,004200
2022090100009,路燈故障或設施損壞,中山區新生北路二段60巷,20220901,005800
2022090100010,大型廢棄物清運聯繫,文山區臺北市文山區萬有里005鄰興隆路一段１８４巷４弄６號,20220901,010100
2022090100011,大型廢棄物清運聯繫,信義區臺北市信義區四育里005鄰虎林街５７之２號,20220901,010700
2022090100012,場所與設施噪音舉發,中山區臺北市中山區正義里007鄰林森北路１０７巷４６號,20220901,011300
2022090100013,大型廢棄物清運聯繫,文山區臺北市文山區萬有里001鄰景明街９號,20220901,012300
2022090100014,場所與設施噪音舉發,士林區臺北市士林區福林里007鄰中山北路五段５１６號,20220901,014200
2022090100016,場所與設施噪音舉發,中山區臺北市中山區正義里007鄰林森北路１０７巷４６號,20220901,020100
2022090100017,場所與設施噪音舉發,中山區臺北市中山區正義里012鄰林森北路１３３巷３５號,20220901,021000
2022090100018,場所與設施噪音舉發,中山區臺北市中山區正義里007鄰林森北路１０７巷４６號,20220901,040600
2022090100019,場所與設施噪音舉發,中山區臺北市中山區正義里007鄰林森北路１０７巷４６號,20220901,042000
2022090100021,道路散落物或油漬處理,文山區臺北市文山區興旺里024鄰福興路８２巷３弄７號,20220901,051800
2022090100022,場所與設施噪音舉發,萬華區臺北市萬華區華中里003鄰萬大路４３４號,20220901,053000
2022090100023,場所與設施噪音舉發,信義區台北市信義區忠孝東路五段71巷12弄3號,20220901,054400
2022090100024,場所與設施噪音舉發,中正區羅斯福路一段8號,20220901,054700
2022090100025,場所與設施噪音舉發,中山區臺北市中山區中山里004鄰中山北路二段５９巷９號,20220901,060500
2022090100026,交通號誌異常,北投區大業路-泉源路,20220901,065200
2022090100028,道路散落物或油漬處理,南港區臺北市南港區九如里008鄰研究院路三段１００號,20220901,071800
2022090100029,場所與設施噪音舉發,北投區台北市北投區西安街一段281巷3號,20220901,071800
2022090100030,交通標誌及設施物損壞(含汙損)、傾斜,文山區116台灣台北市文山區指南路三段135號,20220901,072200
2022090100031,道路散落物或油漬處理,內湖區東湖路-康樂街,20220901,073300
2022090100032,交通號誌異常,大同區103台灣台北市大同區太原路177號,20220901,074400
2022090100033,場所與設施噪音舉發,中正區詔安街,20220901,080400
2022090100034,污染舉發,中山區臺北市中山區中原里017鄰中原街４１號,20220901,081100
2022090100035,大型廢棄物清運聯繫,信義區臺北市信義區松光里015鄰松山路４８３號,20220901,081500
2022090100036,鄰里無主垃圾清運,信義區臺北市信義區泰和里010鄰松仁路３０８巷８５號,20220901,081600
2022090100037,污染舉發,中山區臺北市中山區中原里017鄰中原街４１號,20220901,082000
2022090100038,交通號誌異常,大安區106台灣台北市大安區辛亥路三段239號,20220901,082100
2022090100040,鄰里無主垃圾清運,中正區臺北市中正區板溪里012鄰和平西路一段２６號,20220901,082400
2022090100041,污染舉發,中山區臺北市中山區中原里017鄰中原街４１號,20220901,083100
2022090100042,路燈故障或設施損壞,士林區臺北市士林區陽明里003鄰中庸一路３５巷１４號,20220901,083300
2022090100043,污染舉發,北投區立農街一段349巷1弄7號,20220901,084000
2022090100044,大型廢棄物清運聯繫,松山區臺北市松山區自強里005鄰三民路６８巷６號,20220901,084100
2022090100045,大型廢棄物清運聯繫,中山區臺北市中山區中原里013鄰新生北路二段５５巷３弄１號,20220901,084300
2022090100046,道路散落物或油漬處理,信義區臺北市信義區永春里010鄰松山路２８７巷３０號,20220901,084200
2022090100047,交通號誌異常,北投區承德路六段,20220901,085000
2022090100048,交通標誌及設施物損壞(含汙損)、傾斜,大安區106台灣台北市大安區青田街7巷1號,20220901,084900
2022090100049,大型廢棄物清運聯繫,北投區112台灣台北市北投區中山路28-9號,20220901,085300
2022090100050,污染舉發,文山區臺北市文山區景仁里006鄰羅斯福路六段１２４號,20220901,085800
2022090100051,污染舉發,文山區臺北市文山區景美里001鄰育英街１１之６號,20220901,090700
2022090100052,大型廢棄物清運聯繫,士林區臺北市士林區天母里002鄰中山北路七段２１６巷６號,20220901,090800
2022090100053,路燈故障或設施損壞,內湖區臺北市內湖區瑞光里011鄰江南街７１巷６０號,20220901,090900
2022090100054,鄰里無主垃圾清運,大安區安和路二段71巷-通安街,20220901,090800
2022090100055,道路散落物或油漬處理,信義區基隆路一段,20220901,091700
2022090100056,鄰里無主垃圾清運,士林區臺北市士林區天祿里011鄰中山北路六段４５２號,20220901,091700
2022090100057,污染舉發,中正區100台灣台北市中正區羅斯福路四段92號,20220901,091800
2022090100058,人孔蓋(含周邊)破損、遺失處理,大安區106台灣台北市大安區新生南路二段46巷58號,20220901,092100
2022090100059,路燈故障或設施損壞,士林區臺北市士林區陽明里003鄰中庸一路３５巷１４號,20220901,092100
2022090100060,大型廢棄物清運聯繫,大安區臺北市大安區住安里009鄰大安路二段９０巷１號,20220901,092200
2022090100061,場所與設施噪音舉發,信義區松德路200巷-信義路五段91巷,20220901,092100
2022090100062,污染舉發,士林區雨聲街15巷,20220901,093800
2022090100063,交通標誌及設施物損壞(含汙損)、傾斜,大安區106台灣台北市大安區和平東路三段228巷26號,20220901,092400
2022090100064,道路散落物或油漬處理,文山區水源快速道路,20220901,092900
2022090100065,大型廢棄物清運聯繫,南港區臺北市南港區玉成里003鄰南港路三段１４９巷３弄１１號,20220901,093500
2022090100066,場所與設施噪音舉發,士林區111台灣台北市士林區忠義街72號,20220901,093600
2022090100067,場所與設施噪音舉發,信義區臺北市信義區景勤里014鄰吳興街２２０巷３７弄１２號,20220901,093700
2022090100068,市區道路坑洞處理,士林區111台灣台北市士林區中山北路五段528號,20220901,093600
2022090100069,交通號誌電纜線垂落及設施損壞,大安區臺北市大安區福住里017鄰信義路二段１９８巷４０號,20220901,094300
2022090100070,道路散落物或油漬處理,中正區福和橋,20220901,094000
2022090100071,大型廢棄物清運聯繫,松山區臺北市松山區安平里018鄰南京東路五段２９１巷２９弄３６號,20220901,094100
2022090100072,場所與設施噪音舉發,大安區臺北市大安區全安里012鄰安和路二段１８１巷１０號,20220901,094500
2022090100073,交通標誌及設施物損壞(含汙損)、傾斜,士林區臺北市士林區天山里015鄰中山北路七段８２巷７號,20220901,094700
2022090100074,大型廢棄物清運聯繫,信義區臺北市信義區四育里018鄰虎林街３２號,20220901,095800
2022090100075,污染舉發,大安區臺北市大安區誠安里014鄰安東街３５巷１０號,20220901,100200
2022090100076,污染舉發,北投區臺北市北投區永明里006鄰義理街６３巷２弄１０號,20220901,095900
2022090100077,鄰里無主垃圾清運,大安區臺北市大安區福住里012鄰信義路二段１９８巷８號,20220901,100100
2022090100078,大型廢棄物清運聯繫,內湖區臺北市內湖區秀湖里008鄰成功路四段３２３巷１４弄３號,20220901,100700
2022090100080,大型廢棄物清運聯繫,士林區臺北市士林區蘭雅里024鄰中山北路六段２５２巷２號,20220901,101800
2022090100081,場所與設施噪音舉發,萬華區臺北市萬華區西門里002鄰成都路１３５號,20220901,101800
2022090100082,場所與設施噪音舉發,大安區臺北市大安區和安里015鄰仁愛路三段１１８巷１２弄４號,20220901,101700
2022090100083,大型廢棄物清運聯繫,萬華區臺北市萬華區忠德里009鄰東園街６６巷２２弄１３號,20220901,102000
2022090100084,大型廢棄物清運聯繫,松山區臺北市松山區敦化里021鄰八德路三段１２巷５１弄２５號,20220901,102400
2022090100085,污染舉發,信義區臺北市信義區中興里001鄰基隆路二段２２號,20220901,102200
2022090100086,大型廢棄物清運聯繫,大安區臺北市大安區敦安里006鄰敦化南路一段２９５巷４６號,20220901,102300
2022090100087,場所與設施噪音舉發,信義區臺北市信義區中興里001鄰基隆路二段２２號,20220901,102300
2022090100088,大型廢棄物清運聯繫,中山區10491台灣台北市中山區林森北路107巷25號,20220901,102800
2022090100089,污染舉發,大同區臺北市大同區星明里001鄰南京西路１０３號,20220901,103000
2022090100090,大型廢棄物清運聯繫,信義區臺北市信義區惠安里012鄰吳興街３９０號,20220901,103100
2022090100091,大型廢棄物清運聯繫,信義區臺北市信義區雅祥里008鄰基隆路一段８３巷２０弄２號,20220901,103700
2022090100092,大型廢棄物清運聯繫,信義區110台灣台北市信義區崇德街128號,20220901,103500
2022090100093,污染舉發,中正區自來水園區,20220901,104200
2022090100094,大型廢棄物清運聯繫,大安區臺北市大安區光武里011鄰大安路一段３１巷６號,20220901,104600
2022090100095,場所與設施噪音舉發,中正區自來水園區,20220901,104600
2022090100096,大型廢棄物清運聯繫,中山區臺北市中山區聚盛里016鄰林森北路３９９巷１３號,20220901,104800
2022090100097,大型廢棄物清運聯繫,士林區臺北市士林區聖山里009鄰德行東路１９０巷１弄１０號,20220901,105100
2022090100098,污染舉發,信義區忠孝東路五段295巷17之5號,20220901,105300
2022090100099,大型廢棄物清運聯繫,中山區臺北市中山區埤頭里012鄰安東街３之１號,20220901,105900
2022090100101,大型廢棄物清運聯繫,信義區臺北市信義區安康里028鄰信義路五段１２７號,20220901,105700
2022090100102,大型廢棄物清運聯繫,大安區臺北市大安區通安里001鄰文昌街１４２號,20220901,105800
2022090100103,場所與設施噪音舉發,中山區民生西路66號,20220901,105900
2022090100104,道路散落物或油漬處理,中山區臺北市中山區北安里011鄰北安路８２９號,20220901,110400
2022090100105,鄰里無主垃圾清運,大安區臺北市大安區福住里015鄰永康街３５號,20220901,110600
2022090100106,大型廢棄物清運聯繫,松山區臺北市松山區新東里008鄰塔悠路２０６號,20220901,110300
2022090100107,大型廢棄物清運聯繫,文山區臺北市文山區試院里009鄰和興路４４巷２６弄２號,20220901,110800
2022090100108,大型廢棄物清運聯繫,大同區103台灣台北市大同區承德路三段285號,20220901,110900
2022090100109,污染舉發,內湖區臺北市內湖區港富里016鄰港墘路３號,20220901,110900
2022090100111,場所與設施噪音舉發,大安區臺北市大安區群英里023鄰和平東路三段１巷７２弄１２號,20220901,111600
2022090100112,道路散落物或油漬處理,大安區市民大道四段-敦化南路一段,20220901,111700
2022090100113,大型廢棄物清運聯繫,大安區臺北市大安區建倫里008鄰忠孝東路四段１７０巷２３號,20220901,112000
2022090100114,大型廢棄物清運聯繫,內湖區臺北市內湖區港華里019鄰環山路二段４４號,20220901,112000
2022090100115,大型廢棄物清運聯繫,大安區臺北市大安區誠安里013鄰安東街４０巷３５號,20220901,111900
2022090100116,大型廢棄物清運聯繫,信義區臺北市信義區雅祥里008鄰基隆路一段８３巷２０弄２號,20220901,112100
2022090100117,大型廢棄物清運聯繫,信義區臺北市信義區三張里025鄰吳興街２６９巷１弄３０號,20220901,113100
2022090100118,大型廢棄物清運聯繫,大安區臺北市大安區通化里019鄰光復南路６７６巷３號,20220901,112900
2022090100119,道路散落物或油漬處理,大安區市民大道高架橋往東向對應敦化南路前約500公尺,20220901,113600
2022090100120,場所與設施噪音舉發,信義區110台灣台北市信義區吳興街220巷37弄12號,20220901,113200
2022090100121,大型廢棄物清運聯繫,松山區臺北市松山區復盛里021鄰八德路四段１０６巷８弄７號,20220901,113400
2022090100123,污染舉發,南港區臺北市南港區百福里022鄰成福路１７２號,20220901,113900
2022090100124,路燈故障或設施損壞,士林區111台灣台北市士林區文林路663號,20220901,114200
2022090100125,大型廢棄物清運聯繫,南港區臺北市南港區合成里017鄰忠孝東路六段１５９巷２弄８號,20220901,114800
2022090100127,道路側溝溝蓋(含周邊)損壞遺失,文山區臺北市文山區興旺里009鄰福興路４巷６弄３０號,20220901,115000
2022090100128,大型廢棄物清運聯繫,中山區臺北市中山區晴光里014鄰德惠街６號,20220901,115100
2022090100130,鄰里無主垃圾清運,信義區110台灣台北市信義區吳興街583巷83號,20220901,115700
2022090100131,道路散落物或油漬處理,文山區萬壽橋,20220901,120000
2022090100132,大型廢棄物清運聯繫,松山區臺北市松山區東榮里016鄰民生東路五段６９巷１弄１４號,20220901,120400
2022090100134,鄰里無主垃圾清運,內湖區114台灣台北市內湖區內湖路一段411巷9弄14號,20220901,121100
2022090100135,大型廢棄物清運聯繫,松山區臺北市松山區新聚里023鄰八德路四段３０３號,20220901,121600
2022090100136,污染舉發,大安區臺北市大安區芳和里014鄰和平東路三段２１２巷１４號,20220901,122300
2022090100138,大型廢棄物清運聯繫,大安區臺北市大安區華聲里016鄰延吉街１３１巷１２號,20220901,122900
2022090100139,大型廢棄物清運聯繫,大安區仁愛路四段105巷6號,20220901,124500
2022090100140,道路散落物或油漬處理,文山區公廁點位：臺北市富德靈骨樓,20220901,125300
2022090100141,大型廢棄物清運聯繫,大安區台北市大安區忠孝東路四段216巷40弄10號,20220901,125100
2022090100142,場所與設施噪音舉發,萬華區臺北市萬華區綠堤里009鄰環河南路二段１６７號,20220901,125600
2022090100143,場所與設施噪音舉發,信義區110台灣台北市信義區吳興街220巷37弄12號,20220901,130300
2022090100144,場所與設施噪音舉發,信義區臺北市信義區景勤里014鄰吳興街２２０巷３７弄１２號,20220901,130600
2022090100145,市區道路坑洞處理,大安區汀州路三段,20220901,131400
2022090100146,大型廢棄物清運聯繫,內湖區臺北市內湖區西安里012鄰環山路一段６０巷６號,20220901,131400
2022090100147,大型廢棄物清運聯繫,中正區臺北市中正區三愛里001鄰連雲街６巷８之２號,20220901,131700
2022090100148,路樹處理,士林區美崙街-基河路,20220901,132000
2022090100149,大型廢棄物清運聯繫,萬華區臺北市萬華區西門里002鄰成都路１５７號,20220901,132700
2022090100150,大型廢棄物清運聯繫,士林區臺北市士林區東山里004鄰東山路２５巷３２號,20220901,133000
2022090100151,用戶無水、漏水報修,信義區吳興街277號,20220901,133600
2022090100152,污染舉發,中山區10491台灣台北市中山區農安街259號,20220901,134000
2022090100153,交通標誌及設施物損壞(含汙損)、傾斜,大同區臺北市大同區重慶里006鄰承德路三段３０３號,20220901,134200
2022090100154,市區道路坑洞處理,大安區汀州路三段,20220901,134000
2022090100156,大型廢棄物清運聯繫,松山區臺北市松山區三民里004鄰三民路１０１巷３３號,20220901,134600
2022090100157,污染舉發,士林區臺北市士林區芝山里020鄰德行東路２８４巷２４號,20220901,134500
2022090100158,場所與設施噪音舉發,中正區臺北市中正區水源里002鄰汀州路三段２５１號,20220901,134700
2022090100159,大型廢棄物清運聯繫,士林區臺北市士林區天壽里011鄰中山北路六段４０５巷７２號,20220901,134800
2022090100160,鄰里無主垃圾清運,北投區東陽街-東陽街411巷,20220901,135700
2022090100162,污染舉發,南港區研究院路四段50巷,20220901,141000
2022090100164,交通號誌異常,大同區臺北市大同區建明里012鄰長安西路１９８號,20220901,140700
2022090100165,大型廢棄物清運聯繫,士林區臺北市士林區臨溪里005鄰故宮路１５巷１４號,20220901,141600
