案件編號,派工項目,案件地址,立案日期,立案時間
2.02505E+12,道路散落物或油漬處理,士林區仰德大道二段11巷,20250531,235929
2.02505E+12,路燈不亮或損壞,信義區臺北市信義區興雅里020鄰忠孝東路五段１４５號,20250531,235723
2.02505E+12,大型廢棄物清運聯繫,內湖區臺北市內湖區紫雲里011鄰康寧路一段１９５巷３弄５號二樓,20250531,235250
2.02505E+12,路燈不亮或損壞,信義區臺北市信義區安康里008鄰松仁路８９號,20250531,235053
2.02505E+12,污染舉發,南港區臺北市南港區萬福里008鄰玉成街１５４號,20250531,234434
2.02505E+12,場所與設施噪音舉發,大安區臺北市大安區仁慈里001鄰信義路四段６５號,20250531,234546
2.02505E+12,大型廢棄物清運聯繫,文山區臺北市臺北市文山區興福里景興路97巷11號,20250531,233241
2.02505E+12,路燈不亮或損壞,信義區臺北市信義區西村里008鄰松壽路３號,20250531,233112
2.02505E+12,場所與設施噪音舉發,大安區信義路四段-大安路一段,20250531,232932
2.02505E+12,污染舉發,中正區臺北市中正區南福里022鄰南昌路一段８１號,20250531,232734
2.02505E+12,場所與設施噪音舉發,中正區臺北市中正區南福里022鄰南昌路一段８１號,20250531,232755
2.02505E+12,大型廢棄物清運聯繫,大同區臺北市大同區至聖里008鄰承德路三段２１２之２號八樓,20250531,232302
2.02505E+12,場所與設施噪音舉發,大安區臺北市大安區德安里003鄰大安路一段２４９號,20250531,232047
2.02505E+12,大型廢棄物清運聯繫,松山區臺北市松山區民有里026鄰民權東路三段１０６巷１號六樓,20250531,231907
2.02505E+12,場所與設施噪音舉發,松山區臺北市松山區慈祐里020鄰饒河街２２２號,20250531,231613
2.02505E+12,路燈不亮或損壞,信義區臺北市信義區西村里008鄰市府路１號,20250531,231433
2.02505E+12,大型廢棄物清運聯繫,中山區臺北市中山區晴光里007鄰農安街５７號四樓之2,20250531,230557
2.02505E+12,大型廢棄物清運聯繫,內湖區臺北市內湖區石潭里013鄰石潭路２７號八樓,20250531,230549
