案件編號,派工項目,案件地址,立案日期,立案時間
2019060100001,場所與設施噪音舉發,信義區臺北市信義區永春里009鄰忠孝東路五段６７５號,20190601,000600
2019060100003,用戶無水、漏水報修,文山區臺北市文山區興昌里006鄰萬美街二段２１巷３７號,20190601,000900
2019060100004,場所與設施噪音舉發,萬華區臺北市萬華區菜園里021鄰環河南路一段１５５巷１號,20190601,001200
2019060100005,場所與設施噪音舉發,中山區天津街50號,20190601,001700
2019060100006,污染舉發,信義區110台灣台北市信義區忠孝東路五段71巷3弄27號,20190601,001400
2019060100007,道路散落物或油漬處理,士林區中山北路五段-劍潭路,20190601,002000
2019060100008,大型廢棄物清運聯繫,內湖區臺北市內湖區內溝里006鄰康樂街１８４號,20190601,002800
2019060100009,場所與設施噪音舉發,中山區遼寧街110號,20190601,003500
2019060100010,場所與設施噪音舉發,大安區臺北市大安區義安里014鄰敦化南路二段６３巷３６號,20190601,003600
2019060100011,場所與設施噪音舉發,大安區臺北市大安區義安里014鄰敦化南路二段６３巷３８號,20190601,004900
2019060100012,用戶無水、漏水報修,大安區臺北市大安區古風里009鄰龍泉街９３巷２３號,20190601,005100
2019060100013,場所與設施噪音舉發,萬華區臺北市萬華區青山里012鄰西園路一段１６８號,20190601,005100
2019060100014,大型廢棄物清運聯繫,松山區臺北市松山區復盛里009鄰市民大道五段１號,20190601,005300
2019060100015,大型廢棄物清運聯繫,中山區臺北市中山區中庄里007鄰吉林路２１８巷１６號,20190601,005500
2019060100016,道路散落物或油漬處理,文山區在信義快速道路上信義往木柵方向出象山隧道後再進下一個隧道後約100公尺內的外側車道上,20190601,010600
2019060100018,污染舉發,內湖區民善街-民權東路六段在民善街上臺北花市旁,20190601,013300
2019060100019,場所與設施噪音舉發,北投區臺北市北投區永明里003鄰石牌路二段８１號,20190601,014300
2019060100020,場所與設施噪音舉發,文山區木新路三段289之2號,20190601,015000
2019060100021,用戶無水、漏水報修,士林區中山北路七段14巷65弄2號,20190601,015200
2019060100022,場所與設施噪音舉發,大同區重慶北路二段-民生西路,20190601,021500
2019060100023,鄰里無主垃圾清運,大安區敦化南路一段161巷69弄2號,20190601,025900
2019060100024,污染舉發,北投區北投區泉源路37之1號,20190601,030200
