案件編號,派工項目,案件地址,立案日期,立案時間
2021080100001,鄰里無主垃圾清運,萬華區廣州街１４０號,20210801,003700
2021080100004,交通號誌異常,信義區臺北市信義區西村里008鄰市府路１號,20210801,010900
2021080100007,路燈故障或設施損壞,內湖區臺北市內湖區內湖里004鄰內湖路二段３５５巷２號,20210801,012600
2021080100008,交通號誌異常,士林區中山北路六段-士東路,20210801,012800
2021080100009,道路散落物或油漬處理,中正區武昌街一段-中華路一段,20210801,013000
2021080100012,道路散落物或油漬處理,南港區臺北市南港區萬福里018鄰中坡南路１３號,20210801,014700
2021080100014,大型廢棄物清運聯繫,南港區臺北市南港區合成里016鄰忠孝東路六段１５７號,20210801,015800
2021080100015,場所與設施噪音舉發,大安區大安路一段51巷30號,20210801,021400
2021080100016,大型廢棄物清運聯繫,中山區10491台灣台北市中山區八德路二段192號,20210801,021700
2021080100017,場所與設施噪音舉發,北投區臺北市北投區中心里002鄰泉源路１４號,20210801,022500
2021080100019,用戶無水、漏水報修,松山區新東街與民生東路五段口靠近郵局旁,20210801,033800
2021080100020,路燈故障或設施損壞,內湖區民權東路六段４４９號,20210801,034900
2021080100022,大型廢棄物清運聯繫,士林區臺北市士林區葫蘆里011鄰延平北路五段２５７巷２弄１號,20210801,044300
2021080100025,道路散落物或油漬處理,中山區建國北路二段與民生東路二段口西南角,20210801,054800
2021080100026,交通標誌及設施物損壞(含汙損)、傾斜,松山區南京東路四段13巷,20210801,062500
2021080100027,交通標誌及設施物損壞(含汙損)、傾斜,松山區南京東路四段與敦化北路交叉口 東向西 西向東的中央分隔島,20210801,062900
2021080100028,交通標誌及設施物損壞(含汙損)、傾斜,松山區南京東路四段與敦化北路交叉口 北向南在南側,20210801,063100
2021080100030,污染舉發,內湖區汐湖二橋下的內溝溪靠南邊基隆河溪口,20210801,063700
2021080100031,用戶無水、漏水報修,北投區陽明山橫嶺古道在湖山路的登山口,20210801,070700
2021080100032,交通號誌異常,南港區舊莊街一段215巷與大坑街交叉口大坑街即舊莊街一段199巷16弄,20210801,072200
2021080100033,用戶無水、漏水報修,大安區忠孝東路三段１９７號,20210801,072800
2021080100034,場所與設施噪音舉發,萬華區廣州街２１１號,20210801,073500
2021080100037,鄰里無主垃圾清運,松山區民生東路四段112巷7弄口的人行道,20210801,075600
2021080100038,道路散落物或油漬處理,中正區臺北市中正區螢雪里008鄰詔安街２６巷１６號,20210801,075800
2021080100039,大型廢棄物清運聯繫,北投區112台灣台北市北投區中和街507巷3弄1-1號,20210801,080300
2021080100040,道路散落物或油漬處理,信義區松高路-松智路,20210801,082000
2021080100041,場所與設施噪音舉發,中正區臺北市中正區龍光里013鄰寧波西街１００號,20210801,082400
2021080100044,用戶無水、漏水報修,北投區大業路-北投路二段,20210801,083600
2021080100045,道路散落物或油漬處理,北投區承德路六段-文林北路口往北,20210801,084100
2021080100046,場所與設施噪音舉發,中正區廣州街-中華路二段口龍山國中,20210801,085100
2021080100047,場所與設施噪音舉發,南港區臺北市南港區聯成里008鄰忠孝東路六段２７８巷２３弄２０號,20210801,090000
2021080100048,市區道路坑洞處理,南港區南港路一段-研究院路一段南往北方向,20210801,091400
2021080100049,大型廢棄物清運聯繫,信義區臺北市信義區景聯里004鄰基隆路二段７７號,20210801,091500
2021080100050,大型廢棄物清運聯繫,士林區臺北市士林區天山里017鄰中山北路七段１２４巷８號,20210801,091600
2021080100052,大型廢棄物清運聯繫,士林區臺北市士林區葫蘆里006鄰葫蘆街１７０號,20210801,092300
2021080100053,場所與設施噪音舉發,北投區自強街5巷,20210801,092900
2021080100054,市區道路坑洞處理,南港區南港路一段-研究院路一段南往北方向,20210801,093200
2021080100055,場所與設施噪音舉發,信義區臺北市信義區敦厚里018鄰永吉路３０巷１０１弄２２號,20210801,093300
2021080100056,路樹處理,內湖區臺北市內湖區西安里015鄰文湖街８１巷３８號,20210801,093800
2021080100059,大型廢棄物清運聯繫,北投區臺北市北投區中心里008鄰泉源路３６之１號,20210801,094400
2021080100060,大型廢棄物清運聯繫,松山區臺北市松山區東勢里017鄰健康路４６號,20210801,095100
2021080100061,污染舉發,文山區臺北市文山區興光里004鄰興德路２５號,20210801,095100
2021080100063,道路散落物或油漬處理,大安區基隆路三段-基隆路三段155巷,20210801,100100
2021080100064,污染舉發,文山區臺北市文山區景行里009鄰景文街１０７號,20210801,100600
2021080100065,場所與設施噪音舉發,文山區臺北市文山區興豐里016鄰景豐街２巷２號,20210801,101200
2021080100066,場所與設施噪音舉發,松山區光復北路230巷19號,20210801,101100
2021080100067,大型廢棄物清運聯繫,中正區臺北市中正區頂東里021鄰晉江街１２６巷８號,20210801,101200
2021080100068,場所與設施噪音舉發,北投區臺北市北投區榮光里001鄰自強街１７７號,20210801,101900
2021080100069,道路散落物或油漬處理,大安區基隆路三段-基隆路三段155巷台大動物醫院前方,20210801,102800
2021080100070,場所與設施噪音舉發,松山區臺北市松山區龍田里014鄰健康路１３１號,20210801,103400
2021080100071,污染舉發,大安區臺北市大安區通安里011鄰通化街７８號,20210801,103500
