案件編號,派工項目,案件地址,立案日期,立案時間
2016063000519,污染舉發,中山區巷口,20160701,000000
2016070100001,污染舉發,松山區,20160701,000400
2016070100002,污染舉發,北投區,20160701,000700
2016070100003,場所與設施噪音舉發,萬華區成都路與康定路交叉口雅香火鍋二樓,20160701,001000
2016070100004,大型廢棄物清運聯繫,內湖區,20160701,001400
2016070100005,市區道路坑洞處理,大安區交叉路口:  忠孝東路四段  復興南路一段,20160701,002100
2016070100006,污染舉發,北投區後方回字形中間,20160701,002100
2016070100007,污染舉發,中山區2樓以上不知道哪一層,20160701,002500
2016070100008,場所與設施噪音舉發,中山區,20160701,002700
2016070100011,路燈故障或設施損壞,內湖區彩虹河濱公園 ,20160701,012000
2016070100012,鄰里無主垃圾清運,士林區,20160701,012600
2016070100013,路燈故障或設施損壞,內湖區巷內 ,20160701,013500
2016070100014,場所與設施噪音舉發,北投區陽明大學門口,20160701,014500
2016070100015,市區道路坑洞處理,大安區往北方向臺大門口內側車道,20160701,014500
2016070100016,路燈故障或設施損壞,北投區對面 公園內,20160701,021100
2016070100017,鄰里無主垃圾清運,中山區至錦州街449號,20160701,021300
2016070100020,雨水下水道側溝清淤,中正區、中華路二段307巷、中華路二段311巷,20160701,031800
2016070100021,場所與設施噪音舉發,中山區,20160701,033500
2016070100022,污染舉發,信義區後方不確定樓層,20160701,043500
2016070100025,路燈故障或設施損壞,信義區上象山登山步道往左邊（一線天方向）的路約50-60公尺右手邊,20160701,045000
2016070100026,鄰里無主垃圾清運,內湖區,20160701,050300
2016070100027,大型廢棄物清運聯繫,萬華區,20160701,051600
2016070100028,場所與設施噪音舉發,文山區興隆路四段101巷與木柵路二段138巷交叉口,20160701,055100
2016070100029,污染舉發,信義區和4樓(3樓主機沿著外牆滴在巷口有3個窗戶靠近大馬路有2個窗戶),20160701,055400
2016070100030,場所與設施噪音舉發,北投區,20160701,055600
2016070100031,污染舉發,北投區,20160701,055600
2016070100032,大型廢棄物清運聯繫,萬華區,20160701,060300
2016070100033,場所與設施噪音舉發,中山區後陽臺,20160701,064400
2016070100034,交通號誌異常,信義區與虎林街交叉口,20160701,064600
2016070100035,交通號誌異常,中正區博愛路與漢口街交叉口,20160701,064600
2016070100036,路燈故障或設施損壞,文山區景美溪右岸考試院到寶橋之間的河濱自行車道,20160701,065800
2016070100039,雨水下水道側溝清淤,士林區右邊,20160701,070400
2016070100040,大型廢棄物清運聯繫,內湖區,20160701,072200
2016070100041,交通號誌異常,北投區石牌路上（自強街5巷口至承德路口）,20160701,072500
2016070100042,用戶無水、漏水報修,松山區,20160701,073600
2016070100046,鄰里無主垃圾清運,大同區與323號,20160701,075900
2016070100047,用戶無水、漏水報修,北投區94號,20160701,080000
2016070100048,鄰里無主垃圾清運,北投區周邊,20160701,080100
2016070100049,鄰里無主垃圾清運,信義區前路邊,20160701,081200
2016070100050,交通號誌異常,北投區整條承德路六段往臺北市區方向,20160701,081400
2016070100051,交通號誌異常,北投區與中央南路二段交叉口  前後,20160701,081700
2016070100052,交通號誌異常,信義區忠孝東路主幹道與423巷交叉口的號,20160701,083400
2016070100053,交通號誌異常,文山區交叉路口:  萬樂街 ,20160701,083600
2016070100054,大型廢棄物清運聯繫,文山區,20160701,083600
2016070100055,大型廢棄物清運聯繫,松山區,20160701,083900
2016070100057,用戶無水、漏水報修,松山區,20160701,084200
2016070100058,大型廢棄物清運聯繫,信義區,20160701,084400
2016070100059,交通號誌異常,士林區巷口,20160701,084600
2016070100060,大型廢棄物清運聯繫,萬華區,20160701,084600
2016070100061,大型廢棄物清運聯繫,中山區,20160701,084900
2016070100063,場所與設施噪音舉發,內湖區,20160701,085400
2016070100064,路燈故障或設施損壞,內湖區前方,20160701,085200
2016070100065,大型廢棄物清運聯繫,松山區,20160701,085300
2016070100066,大型廢棄物清運聯繫,中山區,20160701,085600
2016070100067,鄰里無主垃圾清運,文山區 動物園側門靠近捷運木柵機廠這一側電話亭旁人行道上,20160701,085600
2016070100068,鄰里無主垃圾清運,信義區30號,20160701,085900
2016070100069,污染舉發,中山區,20160701,090600
2016070100070,鄰里無主垃圾清運,中正區巷內整條,20160701,090500
2016070100072,污染舉發,萬華區,20160701,091300
2016070100073,場所與設施噪音舉發,士林區市民要求到37號,20160701,091900
2016070100074,大型廢棄物清運聯繫,北投區,20160701,092100
2016070100075,路燈故障或設施損壞,北投區巷底以及左轉後接民族街20巷(整條也是),20160701,092400
2016070100076,污染舉發,北投區,20160701,092200
2016070100077,鄰里無主垃圾清運,大安區巷口,20160701,092400
2016070100078,大型廢棄物清運聯繫,內湖區,20160701,093200
2016070100079,路燈故障或設施損壞,中正區,20160701,093100
2016070100081,污染舉發,信義區11樓或12樓,20160701,093300
2016070100082,大型廢棄物清運聯繫,大安區,20160701,093700
2016070100083,大型廢棄物清運聯繫,內湖區,20160701,093800
2016070100084,大型廢棄物清運聯繫,大安區,20160701,094000
2016070100085,污染舉發,中山區,20160701,094100
2016070100086,路燈故障或設施損壞,中正區小南門3號,20160701,094000
2016070100087,場所與設施噪音舉發,大安區SOGO百貨公司,20160701,094200
2016070100088,大型廢棄物清運聯繫,信義區,20160701,094500
2016070100089,大型廢棄物清運聯繫,南港區,20160701,095000
2016070100090,大型廢棄物清運聯繫,信義區,20160701,094800
2016070100091,大型廢棄物清運聯繫,南港區,20160701,095100
2016070100092,市區道路坑洞處理,中正區上述地點前後的附近路側邊,20160701,095100
2016070100093,污染舉發,萬華區前方榕樹下,20160701,095500
2016070100094,大型廢棄物清運聯繫,信義區,20160701,095400
2016070100095,大型廢棄物清運聯繫,文山區,20160701,095500
2016070100096,大型廢棄物清運聯繫,信義區,20160701,100000
2016070100097,大型廢棄物清運聯繫,大同區,20160701,100300
2016070100098,大型廢棄物清運聯繫,松山區,20160701,100200
2016070100099,大型廢棄物清運聯繫,內湖區,20160701,100700
2016070100100,大型廢棄物清運聯繫,士林區,20160701,100800
2016070100101,大型廢棄物清運聯繫,士林區,20160701,100800
2016070100102,大型廢棄物清運聯繫,文山區,20160701,101000
2016070100103,用戶無水、漏水報修,文山區人行道上,20160701,101000
2016070100104,場所與設施噪音舉發,中正區之11至3樓後方,20160701,101500
2016070100105,大型廢棄物清運聯繫,內湖區,20160701,101800
2016070100106,大型廢棄物清運聯繫,南港區,20160701,103200
2016070100107,鄰里無主垃圾清運,信義區前方,20160701,101600
2016070100108,場所與設施噪音舉發,中山區雙和豆漿店,20160701,102500
2016070100110,大型廢棄物清運聯繫,中山區,20160701,101800
2016070100111,場所與設施噪音舉發,松山區,20160701,102400
2016070100112,大型廢棄物清運聯繫,中正區,20160701,102600
2016070100113,大型廢棄物清運聯繫,北投區,20160701,102500
2016070100114,大型廢棄物清運聯繫,中山區,20160701,102900
2016070100115,大型廢棄物清運聯繫,文山區,20160701,103700
2016070100116,路燈故障或設施損壞,信義區與30號,20160701,103500
2016070100117,大型廢棄物清運聯繫,南港區,20160701,103700
2016070100118,大型廢棄物清運聯繫,北投區,20160701,103900
2016070100119,用戶無水、漏水報修,松山區交叉路口:  八德路四段  松信路,20160701,104000
2016070100120,路燈故障或設施損壞,大同區弄內與75巷巷內,20160701,105000
2016070100121,大型廢棄物清運聯繫,中正區,20160701,105100
2016070100122,交通號誌異常,大同區交叉路口:  重慶北路  長安西路,20160701,105000
2016070100123,場所與設施噪音舉發,大安區前方道路,20160701,105100
2016070100125,大型廢棄物清運聯繫,信義區,20160701,110200
2016070100126,污染舉發,北投區或泉源路28-10號,20160701,110300
2016070100127,污染舉發,文山區路邊,20160701,110700
2016070100128,大型廢棄物清運聯繫,信義區101弄30號,20160701,110700
2016070100129,路燈故障或設施損壞,松山區跟健康路401號,20160701,111100
2016070100130,大型廢棄物清運聯繫,大安區,20160701,110900
2016070100132,交通號誌異常,士林區交叉路口:  士商路  承德路五段,20160701,110800
2016070100133,大型廢棄物清運聯繫,大安區住戶社區大樓,20160701,111300
2016070100134,路燈故障或設施損壞,信義區往永吉路方向分隔島上,20160701,111200
2016070100135,大型廢棄物清運聯繫,北投區,20160701,111600
2016070100136,大型廢棄物清運聯繫,南港區,20160701,111700
2016070100137,交通號誌電纜線垂落及設施損壞,中山區交叉路口:  中山北路 ,20160701,112000
2016070100138,污染舉發,北投區,20160701,111800
2016070100139,大型廢棄物清運聯繫,中正區,20160701,112100
2016070100140,用戶無水、漏水報修,北投區,20160701,112100
2016070100141,大型廢棄物清運聯繫,大安區,20160701,112700
2016070100142,大型廢棄物清運聯繫,文山區,20160701,112900
2016070100143,大型廢棄物清運聯繫,大同區,20160701,112900
2016070100144,大型廢棄物清運聯繫,中正區,20160701,112900
2016070100145,污染舉發,內湖區,20160701,113200
2016070100146,大型廢棄物清運聯繫,文山區,20160701,113300
2016070100147,大型廢棄物清運聯繫,中正區,20160701,113300
2016070100148,路燈故障或設施損壞,中正區旁,20160701,113700
2016070100149,大型廢棄物清運聯繫,中山區,20160701,113300
2016070100150,交通號誌異常,信義區至372巷口,20160701,113300
2016070100151,交通號誌電纜線垂落及設施損壞,士林區口交叉路口:  承德路五段  士商路,20160701,114400
2016070100152,大型廢棄物清運聯繫,松山區,20160701,113700
2016070100153,大型廢棄物清運聯繫,文山區,20160701,113800
2016070100154,路燈故障或設施損壞,中正區前,20160701,113700
2016070100155,污染舉發,中山區實踐大學一直朝向大直街62巷5弄,20160701,114400
2016070100156,大型廢棄物清運聯繫,信義區,20160701,115200
2016070100157,大型廢棄物清運聯繫,大安區,20160701,115100
2016070100159,鄰里無主垃圾清運,松山區前面,20160701,120300
2016070100160,鄰里無主垃圾清運,文山區門口前方,20160701,120800
2016070100162,大型廢棄物清運聯繫,信義區,20160701,121000
