案件編號,派工項目,案件地址,立案日期,立案時間
202308310,動物救援,士林區臺北市士林區承德里003鄰承德路四段１１６號,20230901,000000
202309010,場所與設施噪音舉發,中山區新生北路一段98之3號,20230901,000900
202309010,場所與設施噪音舉發,北投區文林北路-文林北路75巷,20230901,002000
202309010,場所與設施噪音舉發,大安區臺北市大安區法治里005鄰樂利路９５號,20230901,002100
202309010,路燈故障或設施損壞,中山區松江路64巷,20230901,003800
202309010,大型廢棄物清運聯繫,大安區臺北市大安區古莊里007鄰浦城街１６巷１６號,20230901,003800
202309010,交通號誌異常,內湖區康寧路三段-民權東路六段,20230901,004100
202309010,大型廢棄物清運聯繫,中山區臺北市中山區朱馥里020鄰合江街１７巷６之１號,20230901,005100
202309010,場所與設施噪音舉發,中正區臺北市中正區龍福里019鄰寧波西街８５之１號,20230901,005400
202309010,大型廢棄物清運聯繫,士林區臺北市士林區百齡里009鄰福港街２５９巷１３弄４之１號,20230901,005600
202309010,大型廢棄物清運聯繫,北投區臺北市北投區吉利里020鄰石牌路一段３９巷８０弄５號,20230901,010800
202309010,場所與設施噪音舉發,大安區臺北市大安區車層里001鄰延吉街６２巷１２號,20230901,013400
202309010,市區道路坑洞處理,大同區TPE臺北市大同區重慶里敦煌路102號,20230901,013400
202309010,路樹處理,大同區環河北路二段-酒泉街,20230901,015500
202309010,道路散落物或油漬處理,大同區環河快速道路,20230901,020400
202309010,路燈故障或設施損壞,中山區伊通街,20230901,024400
202309010,污染舉發,文山區臺北市文山區興得里027鄰興隆路三段３０４巷３０號,20230901,045200
202309010,場所與設施噪音舉發,大安區臺北市大安區龍雲里019鄰四維路１６３號,20230901,054900
202309010,動物救援,萬華區臺北市萬華區興德里012鄰富民路１４５巷３５弄１號,20230901,062400
202309010,大型廢棄物清運聯繫,大安區臺北市大安區群英里001鄰復興南路二段１７１巷２５號,20230901,063500
202309010,路燈故障或設施損壞,萬華區TPE臺北市萬華區富福里和平西路三段114號,20230901,065200
202309010,交通號誌異常,文山區木柵路一段191巷-木柵路一段,20230901,065900
202309010,大型廢棄物清運聯繫,北投區臺北市北投區東華里014鄰致遠三路５６號,20230901,071100
202309010,污染舉發,內湖區東湖路7巷,20230901,072600
202309010,大型廢棄物清運聯繫,松山區臺北市松山區新益里015鄰新東街６０巷７號,20230901,071500
202309010,交通號誌異常,中正區臺北市中正區龍光里001鄰南海路５８號,20230901,072700
202309010,交通標誌及設施物損壞(含汙損)、傾斜,松山區八德路三段8巷,20230901,072800
202309010,動物救援,北投區承德路七段-大度路,20230901,073800
202309010,污染舉發,南港區臺北市南港區九如里015鄰研究院路三段１８巷７號,20230901,074200
202309010,大型廢棄物清運聯繫,信義區臺北市信義區惠安里025鄰吳興街４５０巷１１弄１２號,20230901,074900
202309010,市區道路坑洞處理,中山區10491台灣台北市中山區復興北路488巷2弄1號,20230901,075300
202309010,場所與設施噪音舉發,文山區臺北市文山區景行里016鄰景興路２０２巷６號,20230901,075700
202309010,大型廢棄物清運聯繫,內湖區臺北市內湖區石潭里013鄰石潭路２７號,20230901,075900
202309010,污染舉發,大安區臺北市大安區群賢里004鄰和平東路二段２６５巷２８號,20230901,080200
202309010,市區道路坑洞處理,中山區10491台灣台北市中山區民族東路512巷13弄23號,20230901,080300
202309010,交通號誌異常,中正區No. 14 Taibeishidongxixiang Expy Zhongzheng District Taipei City Taiwan 100,20230901,081000
202309010,場所與設施噪音舉發,文山區臺北市文山區景行里018鄰景興路２０２巷２號,20230901,082500
202309010,交通號誌異常,大安區芳蘭路 基隆路四段73巷,20230901,083900
202309010,路燈故障或設施損壞,松山區TPE臺北市松山區自強里三民路72號,20230901,083700
202309010,大型廢棄物清運聯繫,士林區臺北市士林區東山里022鄰士東路２８６巷１號,20230901,084100
202309010,大型廢棄物清運聯繫,大安區臺北市大安區仁慈里006鄰大安路一段２２０巷３號,20230901,084300
202309010,大型廢棄物清運聯繫,大安區臺北市大安區民炤里005鄰新生南路一段１４５巷３之２號,20230901,084600
202309010,鄰里無主垃圾清運,中山區10491台灣台北市中山區中山北路二段59巷16號,20230901,084500
202309010,路樹處理,大安區臺北市大安區龍坡里007鄰和平東路一段２５６號,20230901,085100
202309010,場所與設施噪音舉發,信義區虎林街２５５號,20230901,084800
202309010,場所與設施噪音舉發,松山區敦化北路120巷,20230901,085400
202309010,大型廢棄物清運聯繫,北投區臺北市北投區清江里016鄰清江路２０１號,20230901,085900
202309010,場所與設施噪音舉發,士林區臺北市士林區天壽里012鄰中山北路六段４４１巷４５號,20230901,090100
202309010,大型廢棄物清運聯繫,松山區臺北市松山區慈祐里001鄰八德路四段８３１號,20230901,090200
202309010,交通號誌異常,文山區木柵路一段,20230901,090300
202309010,大型廢棄物清運聯繫,中山區臺北市中山區江山里021鄰龍江路２８１巷１６號,20230901,090500
202309010,大型廢棄物清運聯繫,信義區臺北市信義區安康里029鄰松勇路５３巷６６號,20230901,090900
202309010,大型廢棄物清運聯繫,信義區臺北市信義區黎平里020鄰富陽街８７巷２２號,20230901,090800
202309010,污染舉發,中山區臺北市中山區朱崙里015鄰遼寧街２７號,20230901,091200
202309010,市區道路坑洞處理,內湖區TPE臺北市內湖區湖元里瑞光路,20230901,091200
