案件編號,派工項目,案件地址,立案日期,立案時間
2020073100519,污染舉發,萬華區臺北市萬華區新安里021鄰中華路二段４１６巷１１４號,20200801,000000
2020080100001,場所與設施噪音舉發,內湖區114台灣台北市內湖區內湖路一段47巷22弄11號,20200801,000500
2020080100003,場所與設施噪音舉發,中正區汀州路一段,20200801,001200
2020080100004,場所與設施噪音舉發,中正區臺北市中正區永昌里006鄰汀州路一段２５０號,20200801,001000
2020080100005,場所與設施噪音舉發,北投區中和街493巷15弄,20200801,002000
2020080100006,用戶無水、漏水報修,中山區民生東路三段73巷2弄4號,20200801,002200
2020080100007,場所與設施噪音舉發,內湖區成美橋上靠近新明路這邊,20200801,002500
2020080100008,場所與設施噪音舉發,內湖區成美橋(從松山車站過來這一段成美橋),20200801,003300
2020080100009,場所與設施噪音舉發,中正區臺北市中正區永昌里006鄰汀州路一段２５０號,20200801,004800
2020080100010,大型廢棄物清運聯繫,內湖區臺北市內湖區湖元里016鄰民權東路六段９０巷１８號,20200801,004300
2020080100011,場所與設施噪音舉發,中正區100台灣台北市中正區汀州路一段158號,20200801,004600
2020080100012,場所與設施噪音舉發,中正區臺北市中正區永功里017鄰汀州路一段３７０號,20200801,010500
2020080100013,場所與設施噪音舉發,松山區八德路二段366巷45弄-八德路二段366巷交叉口,20200801,010600
2020080100014,污染舉發,中正區臺北市中正區永功里017鄰汀州路一段３７０號,20200801,010800
2020080100015,場所與設施噪音舉發,中正區汀州路一段-南海路,20200801,010900
2020080100016,道路散落物或油漬處理,中正區中山南路與凱達格蘭大道交叉口圓環的西北角車道上,20200801,011800
2020080100017,場所與設施噪音舉發,內湖區成功路二段115巷轉角處(高公局旁邊),20200801,013100
2020080100019,場所與設施噪音舉發,內湖區成美橋(從松山車站過來這一段成美橋) ,20200801,021600
2020080100020,場所與設施噪音舉發,內湖區臺北市內湖區西康里006鄰內湖路一段４７巷８弄６號,20200801,024100
2020080100021,場所與設施噪音舉發,大同區臺北市大同區雙連里026鄰寧夏路４５巷４０號,20200801,025100
2020080100022,場所與設施噪音舉發,中山區10491台灣台北市中山區林森北路414號,20200801,025900
2020080100023,大型廢棄物清運聯繫,中山區臺北市中山區中山里015鄰新生北路二段７４號,20200801,030900
2020080100024,大型廢棄物清運聯繫,萬華區臺北市萬華區和德里006鄰寶興街３８巷１１號,20200801,032500
2020080100025,場所與設施噪音舉發,中正區汀州路一段(南海路至寧波西街),20200801,032800
