案件編號,派工項目,案件地址,立案日期,立案時間
2020033100382,場所與設施噪音舉發,大安區臺北市大安區龍門里005鄰和平東路二段６６號,20200401,000000
2020040100002,場所與設施噪音舉發,大安區和平東路二段107巷-和平東路二段,20200401,001000
2020040100003,大型廢棄物清運聯繫,松山區臺北市松山區安平里018鄰南京東路五段２９１巷２９弄４６號,20200401,003000
2020040100004,場所與設施噪音舉發,中山區臺北市中山區正得里006鄰中山北路一段３３巷４３號,20200401,002400
2020040100005,用戶無水、漏水報修,北投區臺北市北投區中和里011鄰大屯路光華四巷２號,20200401,003000
2020040100006,路燈故障或設施損壞,士林區111台灣台北市士林區延平北路八段204號,20200401,003000
2020040100007,場所與設施噪音舉發,大同區臺北市大同區光能里018鄰赤峰街５３巷２號,20200401,004700
2020040100008,路燈故障或設施損壞,中正區?門街113巷整巷,20200401,010500
2020040100009,場所與設施噪音舉發,北投區臺北市北投區榮華里006鄰富貴一路３巷９號,20200401,011500
2020040100010,大型廢棄物清運聯繫,大安區臺北市大安區龍淵里031鄰辛亥路二段１１１號,20200401,012000
2020040100011,道路散落物或油漬處理,內湖區114台灣台北市內湖區內湖路一段285巷65弄34號,20200401,021600
2020040100012,場所與設施噪音舉發,內湖區114台灣台北市內湖區內湖路一段285巷65弄34號,20200401,021900
2020040100013,路燈故障或設施損壞,內湖區民權大橋橋下,20200401,023300
2020040100014,場所與設施噪音舉發,大安區臺北市大安區群賢里005鄰復興南路二段２９１號,20200401,023800
2020040100015,場所與設施噪音舉發,松山區臺北市松山區敦化里028鄰市民大道四段１６３號,20200401,034800
2020040100016,場所與設施噪音舉發,松山區臺北市松山區敦化里028鄰市民大道四段１６３號,20200401,035200
2020040100017,場所與設施噪音舉發,大安區臺北市大安區龍生里007鄰和平東路二段１１１號,20200401,040900
2020040100018,場所與設施噪音舉發,信義區臺北市信義區富台里013鄰忠孝東路五段２９７號,20200401,043300
2020040100019,場所與設施噪音舉發,松山區105台灣台北市松山?東興路2巷10號,20200401,043600
2020040100020,用戶無水、漏水報修,北投區臺北市北投區中心里003鄰泉源路１７號,20200401,051800
2020040100021,污染舉發,萬華區臺北市萬華區青山里012鄰西園路一段１５０號,20200401,052000
2020040100022,鄰里無主垃圾清運,松山區臺北市松山區敦化里028鄰市民大道四段１６３號,20200401,053000
2020040100023,污染舉發,大同區臺北市大同區老師里012鄰酒泉街２３５號,20200401,064200
2020040100024,道路側溝溝蓋(含周邊)損壞遺失,中山區10491台灣台北市中山區民族東路48號,20200401,064300
2020040100025,交通號誌異常,北投區中央北路四段上靠近中央北路四段跟大度路三段交叉口還沒到交叉口約50公尺處往關渡宮方向,20200401,071800
2020040100026,道路散落物或油漬處理,大安區臺北市大安區龍圖里001鄰信義路三段１０２號,20200401,071200
2020040100027,交通號誌異常,北投區石牌路一段-西安街一段,20200401,071500
2020040100028,場所與設施噪音舉發,萬華區臺北市萬華區西門里016鄰西寧南路９２號,20200401,071500
2020040100030,場所與設施噪音舉發,士林區111台灣台北市士林區承德路四段110號,20200401,073300
2020040100031,道路散落物或油漬處理,文山區信義快速道路上往木柵方向第一個隧道裡,20200401,073600
2020040100032,道路散落物或油漬處理,內湖區民權大橋上橋處(往內湖方向),20200401,080000
2020040100033,交通號誌電纜線垂落及設施損壞,萬華區臺北市萬華區新起里024鄰西寧南路２６９號,20200401,080000
2020040100034,道路散落物或油漬處理,中山區臺北市中山區劍潭里015鄰北安路１３９號,20200401,080600
2020040100035,場所與設施噪音舉發,北投區三合街一段82巷108號,20200401,081500
2020040100036,鄰里無主垃圾清運,松山區臺北市松山區莊敬里009鄰撫遠街３７９巷９號,20200401,082500
2020040100037,大型廢棄物清運聯繫,大同區臺北市大同區隆和里002鄰昌吉街２０２號,20200401,083100
2020040100038,大型廢棄物清運聯繫,士林區臺北市士林區前港里015鄰後港街１６２巷１０弄２２號,20200401,085100
2020040100039,交通號誌異常,中正區100台灣台北市中正區牯嶺街34-2號,20200401,085100
2020040100040,鄰里無主垃圾清運,士林區臺北市士林區福佳里019鄰文昌路32號,20200401,085500
2020040100041,大型廢棄物清運聯繫,文山區臺北市文山區景東里010鄰景興路１５３巷２７號,20200401,085400
2020040100042,大型廢棄物清運聯繫,信義區臺北市信義區景勤里002鄰吳興街１５６巷２５弄１９號,20200401,085700
2020040100043,場所與設施噪音舉發,內湖區內湖路一段285巷65弄1號,20200401,090300
2020040100044,場所與設施噪音舉發,松山區臺北市松山區三民里005鄰三民路１０１巷２８號,20200401,090600
2020040100045,大型廢棄物清運聯繫,文山區萬隆街５２巷８號,20200401,090600
2020040100046,場所與設施噪音舉發,內湖區臺北市內湖區葫洲里010鄰民權東路六段２９６巷６３號,20200401,090900
2020040100047,大型廢棄物清運聯繫,中正區臺北市中正區南福里015鄰重慶南路三段２７巷９號,20200401,091000
2020040100048,污染舉發,中山區臺北市中山區行政里007鄰農安街１７０號,20200401,090900
2020040100049,場所與設施噪音舉發,北投區臺北市北投區八仙里006鄰中央南路二段１１５號,20200401,091300
2020040100050,用戶無水、漏水報修,北投區112台灣台北市北投區新民路50號,20200401,091100
