案件編號,派工項目,案件地址,立案日期,立案時間
2018020100001,交通號誌異常,中正區仁愛路與杭州南路交叉口,20180201,001100
2018020100002,場所與設施噪音舉發,中山區卡拉ok店家,20180201,002300
2018020100003,場所與設施噪音舉發,大安區弄口World Gym,20180201,002400
2018020100004,鄰里無主垃圾清運,內湖區,20180201,002200
2018020100005,用戶無水、漏水報修,松山區,20180201,002600
2018020100006,道路散落物或油漬處理,內湖區弄口,20180201,002400
2018020100007,場所與設施噪音舉發,信義區忠孝東路五段524巷5弄1號,20180201,003100
2018020100008,場所與設施噪音舉發,南港區旁邊的成功抽水站,20180201,003600
2018020100009,場所與設施噪音舉發,大安區仁愛路四段419之1號,20180201,004200
2018020100010,道路散落物或油漬處理,內湖區,20180201,005100
2018020100011,污染舉發,中正區對面的1樓神壇(無法提供地址),20180201,005700
2018020100012,場所與設施噪音舉發,松山區及地下1樓店名:小丑,20180201,011100
2018020100013,大型廢棄物清運聯繫,文山區,20180201,011300
2018020100014,場所與設施噪音舉發,文山區116台灣台北市文山區興隆路三段185巷15弄1號,20180201,011300
2018020100015,場所與設施噪音舉發,松山區與地下一樓酒館店名：joker,20180201,012200
2018020100016,場所與設施噪音舉發,北投區,20180201,021100
2018020100017,場所與設施噪音舉發,北投區,20180201,021500
2018020100018,場所與設施噪音舉發,北投區,20180201,031900
2018020100019,場所與設施噪音舉發,中山區IF酒吧,20180201,042300
2018020100020,場所與設施噪音舉發,松山區柳家涼麵(無法提供具體地址),20180201,052800
2018020100021,污染舉發,士林區麵攤(店後方）,20180201,054100
2018020100022,場所與設施噪音舉發,信義區防火巷,20180201,054700
2018020100023,場所與設施噪音舉發,大同區巷內,20180201,060900
2018020100024,大型廢棄物清運聯繫,南港區,20180201,060900
2018020100025,鄰里無主垃圾清運,松山區往前走10公尺路中央,20180201,062000
2018020100026,大型廢棄物清運聯繫,中山區,20180201,065000
2018020100027,路樹處理,中山區,20180201,070400
2018020100029,交通標誌及設施物損壞(含汙損)、傾斜,大安區106台灣台北市大安區延吉街242巷242號,20180201,074300
2018020100030,交通號誌異常,萬華區,20180201,075600
2018020100032,交通號誌異常,萬華區,20180201,080300
2018020100033,交通號誌異常,萬華區前方,20180201,080500
2018020100034,市區道路坑洞處理,大同區103台灣台北市大同區承德路三段188號,20180201,080800
2018020100035,鄰里無主垃圾清運,大安區左前方變電箱前,20180201,083100
2018020100036,市區道路坑洞處理,士林區至德行東路與忠誠路交叉口,20180201,083500
2018020100037,市區道路坑洞處理,內湖區北上高速公路 匝道前60公尺處 還在平面道路上,20180201,084100
2018020100038,場所與設施噪音舉發,北投區,20180201,084000
2018020100039,大型廢棄物清運聯繫,中山區,20180201,084100
2018020100040,場所與設施噪音舉發,中正區,20180201,084800
2018020100041,鄰里無主垃圾清運,文山區,20180201,084800
2018020100042,市區道路坑洞處理,萬華區交叉路口,20180201,085100
2018020100043,路燈故障或設施損壞,中正區100台灣台北市中正區羅斯福路一段40號,20180201,085000
2018020100044,交通號誌異常,內湖區交叉路口:  成功路  民權東路(成功路往內湖方向),20180201,085700
2018020100045,道路散落物或油漬處理,內湖區大門前方地標:  麗山高中,20180201,085700
2018020100046,大型廢棄物清運聯繫,中山區,20180201,085800
2018020100047,污染舉發,內湖區,20180201,090000
2018020100048,大型廢棄物清運聯繫,萬華區,20180201,090000
2018020100049,用戶無水、漏水報修,萬華區108台灣台北市萬華區民和街55巷12號,20180201,090100
2018020100050,市區道路坑洞處理,松山區地標:  民權大橋(往松山方向引道處偏向外側車道上),20180201,090400
2018020100051,市區道路坑洞處理,中山區與民權西路交叉口,20180201,090400
2018020100052,交通標誌及設施物損壞(含汙損)、傾斜,松山區與南京東路五段23巷交叉路口,20180201,090400
2018020100053,市區道路坑洞處理,大安區106台灣台北市大安區敦化南路二段92號,20180201,091200
2018020100054,大型廢棄物清運聯繫,士林區,20180201,091400
2018020100055,交通標誌及設施物損壞(含汙損)、傾斜,內湖區114台灣台北市內湖區新明路460巷16號,20180201,092200
2018020100056,市區道路坑洞處理,士林區111台灣台北市士林區中山北路六段405巷35-1號,20180201,092500
2018020100057,大型廢棄物清運聯繫,北投區,20180201,092800
2018020100058,場所與設施噪音舉發,北投區後方防火巷,20180201,093100
2018020100059,大型廢棄物清運聯繫,萬華區,20180201,093000
2018020100060,市區道路坑洞處理,北投區112台灣台北市北投區洲美街16號,20180201,093000
2018020100061,場所與設施噪音舉發,文山區至3樓,20180201,093800
2018020100062,場所與設施噪音舉發,北投區16號,20180201,093200
2018020100063,市區道路坑洞處理,士林區111台灣台北市士林區延平北路五段297號,20180201,093000
2018020100064,大型廢棄物清運聯繫,北投區,20180201,093300
2018020100065,大型廢棄物清運聯繫,內湖區,20180201,093400
2018020100066,大型廢棄物清運聯繫,松山區,20180201,093500
2018020100067,交通標誌及設施物損壞(含汙損)、傾斜,大安區106台灣台北市大安區安和路一段27號,20180201,093600
2018020100068,場所與設施噪音舉發,松山區,20180201,094000
2018020100069,污染舉發,松山區,20180201,094000
2018020100070,市區道路坑洞處理,北投區112台灣台北市北投區洲美街150號,20180201,094000
2018020100071,污染舉發,中山區龍華港式燒臘店,20180201,094300
2018020100072,場所與設施噪音舉發,中山區隔壁,20180201,094600
2018020100073,市區道路坑洞處理,松山區前方車道中央,20180201,094400
2018020100074,市區道路坑洞處理,北投區112台灣台北市北投區洲美街,20180201,094500
2018020100075,污染舉發,信義區110台灣台北市信義區松山路699號,20180201,094500
2018020100076,市區道路坑洞處理,信義區,20180201,094900
2018020100077,市區道路坑洞處理,萬華區機車道與慢車道中間,20180201,095000
2018020100079,污染舉發,大同區前方騎樓人行道,20180201,095100
2018020100080,大型廢棄物清運聯繫,北投區,20180201,095100
2018020100081,大型廢棄物清運聯繫,中山區,20180201,095200
2018020100082,交通標誌及設施物損壞(含汙損)、傾斜,大安區106台灣台北市大安區忠孝東路四段禮仁通商大樓,20180201,095400
2018020100083,交通號誌異常,士林區口,20180201,095800
2018020100084,污染舉發,中山區,20180201,095800
2018020100085,市區道路坑洞處理,士林區111台灣台北市士林區社子街63巷2號,20180201,100100
2018020100086,道路側溝溝蓋(含周邊)損壞遺失,中山區10491台灣台北市中山區遼寧街156號,20180201,100400
2018020100087,大型廢棄物清運聯繫,中山區,20180201,100800
2018020100088,市區道路坑洞處理,中山區交叉路口:  中山北路  民權東路靠近東北角星巴克周邊,20180201,101100
2018020100090,大型廢棄物清運聯繫,內湖區,20180201,101700
2018020100091,大型廢棄物清運聯繫,中山區,20180201,101600
2018020100092,大型廢棄物清運聯繫,文山區,20180201,101600
2018020100093,污染舉發,松山區,20180201,101900
2018020100094,污染舉發,中山區野狼炭火,20180201,101800
2018020100095,路燈故障或設施損壞,內湖區與90號,20180201,101900
2018020100096,交通標誌及設施物損壞(含汙損)、傾斜,北投區112台灣台北市北投區公?路65號,20180201,101900
2018020100097,人孔蓋(含周邊)破損、遺失處理,內湖區,20180201,103500
2018020100098,大型廢棄物清運聯繫,信義區,20180201,103100
2018020100099,大型廢棄物清運聯繫,文山區,20180201,102900
2018020100102,市區道路坑洞處理,信義區交叉路口:  信義路  松仁路,20180201,103500
2018020100103,大型廢棄物清運聯繫,內湖區,20180201,103800
2018020100104,大型廢棄物清運聯繫,北投區,20180201,103600
2018020100105,大型廢棄物清運聯繫,南港區,20180201,103700
2018020100106,市區道路坑洞處理,內湖區民權橋(西向東)下橋處地標:  民權大橋,20180201,104200
2018020100107,大型廢棄物清運聯繫,中山區,20180201,104000
2018020100108,大型廢棄物清運聯繫,松山區,20180201,104000
2018020100109,大型廢棄物清運聯繫,松山區,20180201,104100
2018020100110,道路散落物或油漬處理,大安區與延吉街交叉路口 東北角,20180201,104100
2018020100111,市區道路坑洞處理,大安區建國高架橋往南下信義路匝道前5至10公尺處,20180201,104100
2018020100112,大型廢棄物清運聯繫,南港區,20180201,104300
2018020100113,市區道路坑洞處理,士林區交叉路口:  竹仔湖路251巷  陽金公路的過彎道後,20180201,104400
2018020100114,大型廢棄物清運聯繫,大同區,20180201,104400
2018020100115,道路散落物或油漬處理,文山區前方,20180201,105500
2018020100116,場所與設施噪音舉發,大安區,20180201,105000
2018020100117,污染舉發,大安區,20180201,105100
2018020100118,大型廢棄物清運聯繫,信義區,20180201,104900
2018020100119,大型廢棄物清運聯繫,大同區,20180201,104800
2018020100120,大型廢棄物清運聯繫,北投區,20180201,104900
2018020100121,市區道路坑洞處理,大同區103台灣台北市大同區大龍街275號,20180201,104800
2018020100122,交通號誌異常,內湖區114台灣台北市內湖區新明路536巷1號,20180201,105000
2018020100123,大型廢棄物清運聯繫,松山區,20180201,105000
2018020100124,交通標誌及設施物損壞(含汙損)、傾斜,大同區103台灣台北市大同區庫倫街15號,20180201,105100
2018020100125,交通號誌異常,南港區交叉路口:  松河街  重陽路125巷(河堤邊、成功橋東側旁),20180201,105500
2018020100126,市區道路坑洞處理,中山區10491台灣台北市中山區松江路221巷13號,20180201,105300
2018020100127,市區道路坑洞處理,中山區10491台灣台北市中山區松江路229-233號,20180201,105500
2018020100128,道路散落物或油漬處理,文山區前,20180201,105600
2018020100129,大型廢棄物清運聯繫,中山區803室,20180201,105800
2018020100130,大型廢棄物清運聯繫,中山區,20180201,105800
2018020100131,污染舉發,中山區宏翼汽車,20180201,105900
2018020100132,大型廢棄物清運聯繫,中山區,20180201,110500
2018020100133,用戶無水、漏水報修,士林區忠勇街5號,20180201,110400
2018020100134,大型廢棄物清運聯繫,內湖區,20180201,110700
2018020100135,大型廢棄物清運聯繫,松山區,20180201,111100
2018020100136,場所與設施噪音舉發,中正區100台灣台北市中正區開封街一段50號,20180201,111100
2018020100137,大型廢棄物清運聯繫,文山區,20180201,111400
2018020100138,大型廢棄物清運聯繫,大安區,20180201,111400
2018020100139,市區道路坑洞處理,南港區115台灣台北市南港區八德路四段830號,20180201,111400
2018020100140,場所與設施噪音舉發,信義區110台灣台北市信義區松山路287巷48號,20180201,111400
2018020100141,大型廢棄物清運聯繫,內湖區,20180201,111900
2018020100142,市區道路坑洞處理,信義區110台灣台北市信義區虎林街30巷11號,20180201,112200
2018020100143,市區道路坑洞處理,中正區跟50-1號,20180201,112900
2018020100144,交通標誌及設施物損壞(含汙損)、傾斜,南港區115台灣台北市南港區南港路三段67巷2號,20180201,112400
2018020100145,交通標誌及設施物損壞(含汙損)、傾斜,南港區115台灣台北市南港區松河街360號,20180201,112500
2018020100146,大型廢棄物清運聯繫,北投區,20180201,113000
2018020100147,污染舉發,士林區,20180201,112800
2018020100148,道路側溝溝蓋(含周邊)損壞遺失,中山區10491台灣台北市中山區松江路70號,20180201,112700
2018020100149,污染舉發,北投區福國路往承德路六段方向在福國路上,20180201,113200
2018020100150,大型廢棄物清運聯繫,內湖區,20180201,113900
2018020100152,動物虐待傷害,萬華區108台灣台北市萬華區東園街56號,20180201,113700
2018020100153,大型廢棄物清運聯繫,中山區,20180201,113800
2018020100154,大型廢棄物清運聯繫,松山區,20180201,114100
2018020100155,污染舉發,大同區(慈聖宮),20180201,114100
2018020100156,大型廢棄物清運聯繫,中山區世紀大樓,20180201,114000
2018020100157,大型廢棄物清運聯繫,大安區,20180201,114400
2018020100158,市區道路坑洞處理,北投區,20180201,114600
2018020100159,大型廢棄物清運聯繫,松山區,20180201,114500
2018020100160,污染舉發,內湖區114台灣台北市內湖區堤頂大道二段11號,20180201,114400
2018020100161,市區道路坑洞處理,中山區10491台灣台北市中山區吉林路378號,20180201,114700
2018020100163,鄰里無主垃圾清運,文山區(騎樓柱子旁),20180201,115200
2018020100164,市區道路坑洞處理,中山區10491台灣台北市中山區民權東路二段69號,20180201,115200
2018020100165,大型廢棄物清運聯繫,文山區,20180201,120500
2018020100166,道路側溝溝蓋(含周邊)損壞遺失,中山區10491台灣台北市中山區農安街127號,20180201,115600
2018020100167,大型廢棄物清運聯繫,信義區,20180201,115700
2018020100169,大型廢棄物清運聯繫,北投區,20180201,120000
2018020100170,大型廢棄物清運聯繫,北投區,20180201,120300
2018020100171,道路散落物或油漬處理,松山區交叉路口:  南京東路  敦化北路位於東南角處,20180201,120100
2018020100172,道路散落物或油漬處理,中山區交叉路口:  吉林路  農安街,20180201,120100
2018020100173,大型廢棄物清運聯繫,松山區,20180201,120300
2018020100174,污染舉發,內湖區,20180201,120500
2018020100175,大型廢棄物清運聯繫,大安區,20180201,120800
2018020100176,市區道路坑洞處理,中正區,20180201,120900
2018020100177,大型廢棄物清運聯繫,大安區,20180201,121000
2018020100178,大型廢棄物清運聯繫,士林區,20180201,121100
2018020100179,交通號誌異常,文山區交叉路口:  木柵路   興隆路；在木柵路上東往西方向,20180201,121800
2018020100180,大型廢棄物清運聯繫,大同區,20180201,121900
2018020100181,大型廢棄物清運聯繫,中山區,20180201,122200
2018020100182,大型廢棄物清運聯繫,松山區,20180201,122400
2018020100183,市區道路坑洞處理,北投區112台灣台北市北投區溫泉路銀光巷,20180201,122400
2018020100184,大型廢棄物清運聯繫,北投區,20180201,122700
2018020100185,鄰里無主垃圾清運,北投區人面對上述地點左手邊有一塊種植作物農田前方的人行道上,20180201,122900
2018020100186,場所與設施噪音舉發,士林區大樓頂樓,20180201,122800
2018020100187,大型廢棄物清運聯繫,大安區,20180201,122900
2018020100188,大型廢棄物清運聯繫,信義區,20180201,122900
2018020100189,大型廢棄物清運聯繫,大安區,20180201,122900
2018020100190,大型廢棄物清運聯繫,中山區,20180201,123100
2018020100191,道路散落物或油漬處理,北投區承德路往洲美街方向整條街交叉路口:  洲美街  承德路,20180201,123200
2018020100192,鄰里無主垃圾清運,內湖區門前人行道上,20180201,123300
2018020100193,大型廢棄物清運聯繫,北投區ㄆ,20180201,123400
2018020100194,大型廢棄物清運聯繫,南港區,20180201,123500
2018020100195,大型廢棄物清運聯繫,南港區,20180201,123900
2018020100196,場所與設施噪音舉發,大安區,20180201,123900
2018020100198,路樹處理,士林區磺溪河堤旁(往南方向)(剛過振興醫院)一般道路,20180201,124300
2018020100199,大型廢棄物清運聯繫,士林區,20180201,124500
2018020100200,大型廢棄物清運聯繫,中山區,20180201,124600
2018020100201,大型廢棄物清運聯繫,中山區,20180201,124800
2018020100202,路樹處理,北投區前,20180201,125000
2018020100203,大型廢棄物清運聯繫,大同區,20180201,125100
2018020100204,場所與設施噪音舉發,中正區,20180201,125200
2018020100205,大型廢棄物清運聯繫,士林區,20180201,125600
2018020100206,大型廢棄物清運聯繫,內湖區,20180201,125600
2018020100207,道路散落物或油漬處理,中正區,20180201,130700
2018020100208,大型廢棄物清運聯繫,松山區,20180201,130500
2018020100209,交通號誌電纜線垂落及設施損壞,大安區市民大道與建國南交叉路口西南角處,20180201,131300
2018020100210,市區道路坑洞處理,北投區112台灣台北市北投區泉源路12號,20180201,130500
2018020100211,用戶無水、漏水報修,中山區前方,20180201,130700
2018020100212,大型廢棄物清運聯繫,中正區,20180201,130800
2018020100213,大型廢棄物清運聯繫,大安區,20180201,131200
2018020100214,道路散落物或油漬處理,大同區百齡橋與重慶北路四段交叉口,20180201,131100
2018020100215,市區道路坑洞處理,北投區112台灣台北市北投區珠海路50號,20180201,131300
2018020100216,路燈故障或設施損壞,松山區105台灣台北市松山區五常街281巷11號,20180201,131400
2018020100217,大型廢棄物清運聯繫,萬華區,20180201,131600
2018020100218,污染舉發,松山區,20180201,131700
2018020100219,污染舉發,中正區忠孝西路一段跟中山南路交叉口,20180201,131900
2018020100220,大型廢棄物清運聯繫,大同區,20180201,131900
2018020100221,大型廢棄物清運聯繫,士林區,20180201,131900
2018020100222,大型廢棄物清運聯繫,松山區,20180201,131900
2018020100224,大型廢棄物清運聯繫,大安區,20180201,132800
2018020100225,場所與設施噪音舉發,中正區,20180201,133200
2018020100227,污染舉發,松山區105台灣台北市松山區敦化南路一段100巷5弄6號,20180201,133600
2018020100228,路燈故障或設施損壞,文山區,20180201,134000
2018020100229,大型廢棄物清運聯繫,大同區,20180201,134400
2018020100230,污染舉發,文山區,20180201,134200
2018020100231,大型廢棄物清運聯繫,大安區,20180201,134300
2018020100232,大型廢棄物清運聯繫,北投區,20180201,134300
2018020100233,大型廢棄物清運聯繫,大安區,20180201,134500
2018020100234,污染舉發,松山區105台灣台北市松山區敦化南路一段100巷5弄6號,20180201,134500
2018020100235,場所與設施噪音舉發,大安區,20180201,134800
2018020100236,路燈故障或設施損壞,北投區整條巷子,20180201,134800
2018020100237,大型廢棄物清運聯繫,信義區,20180201,135200
2018020100238,大型廢棄物清運聯繫,南港區,20180201,135100
2018020100239,市區道路坑洞處理,中正區及館前路交叉口往台北車站西側門方向,20180201,135900
2018020100240,大型廢棄物清運聯繫,松山區,20180201,135500
2018020100241,鄰里無主垃圾清運,中山區側門,20180201,135700
2018020100242,大型廢棄物清運聯繫,大同區,20180201,135500
2018020100243,大型廢棄物清運聯繫,大安區,20180201,135600
2018020100244,大型廢棄物清運聯繫,大安區,20180201,135600
2018020100245,市區道路坑洞處理,北投區前水溝蓋旁,20180201,135900
2018020100246,大型廢棄物清運聯繫,松山區,20180201,140000
2018020100247,大型廢棄物清運聯繫,中正區,20180201,140000
2018020100248,大型廢棄物清運聯繫,內湖區,20180201,140200
2018020100249,道路散落物或油漬處理,中正區與館前路交叉口往臺北車站西側門方向,20180201,140100
2018020100250,大型廢棄物清運聯繫,中山區,20180201,140100
2018020100251,大型廢棄物清運聯繫,信義區,20180201,140100
2018020100252,大型廢棄物清運聯繫,內湖區,20180201,140300
2018020100253,大型廢棄物清運聯繫,中正區,20180201,140300
2018020100254,大型廢棄物清運聯繫,文山區,20180201,140900
2018020100255,大型廢棄物清運聯繫,松山區,20180201,141300
2018020100256,市區道路坑洞處理,士林區前(黃網格內),20180201,141100
2018020100257,大型廢棄物清運聯繫,北投區,20180201,141300
2018020100258,大型廢棄物清運聯繫,大安區,20180201,142200
2018020100259,污染舉發,信義區,20180201,141900
2018020100260,大型廢棄物清運聯繫,信義區,20180201,141600
2018020100262,污染舉發,信義區,20180201,142800
2018020100263,大型廢棄物清運聯繫,大安區,20180201,142700
2018020100264,大型廢棄物清運聯繫,南港區,20180201,142800
2018020100265,大型廢棄物清運聯繫,文山區,20180201,143000
2018020100266,大型廢棄物清運聯繫,北投區,20180201,143000
2018020100267,用戶無水、漏水報修,大安區,20180201,143100
2018020100268,大型廢棄物清運聯繫,內湖區,20180201,143300
2018020100269,大型廢棄物清運聯繫,南港區,20180201,143400
2018020100270,交通號誌異常,北投區112台灣台北市北投區立功街96號,20180201,143200
2018020100271,大型廢棄物清運聯繫,信義區,20180201,143500
2018020100272,大型廢棄物清運聯繫,內湖區,20180201,143500
2018020100273,大型廢棄物清運聯繫,大安區,20180201,144100
2018020100274,大型廢棄物清運聯繫,松山區,20180201,144000
2018020100275,大型廢棄物清運聯繫,大安區,20180201,144100
2018020100276,鄰里無主垃圾清運,北投區交叉路口:  宜山路  翠宜路交叉路口的電線桿旁邊,20180201,144600
2018020100277,大型廢棄物清運聯繫,內湖區,20180201,144200
2018020100278,大型廢棄物清運聯繫,大安區,20180201,144600
2018020100279,污染舉發,北投區店面後院,20180201,145200
2018020100280,場所與設施噪音舉發,北投區店面後院,20180201,145200
2018020100281,道路側溝溝蓋(含周邊)損壞遺失,內湖區114台灣台北市內湖區陽光街200號,20180201,144900
2018020100282,市區道路坑洞處理,松山區105台灣松山區民生東路四段62號,20180201,145000
