案件編號,派工項目,案件地址,立案日期,立案時間
202408311,場所與設施噪音舉發,大安區臺北市大安區車層里003鄰忠孝東路四段２２３巷２０弄３號,20240831,235403
202408311,用戶無水、漏水報修,北投區TPE臺北市北投區榮光里西安街一段287巷2號,20240831,234413
202408311,交通號誌異常,中正區TPE臺北市大安區民炤里仁愛路三段與復興南路一段,20240831,233623
202408311,交通號誌異常,內湖區南京東路六段70號前,20240831,233114
202408311,場所與設施噪音舉發,北投區臺北市北投區清江里006鄰清江路５３號,20240831,232926
202408311,場所與設施噪音舉發,大同區承德路三段-承德路三段122巷,20240831,232951
202408311,場所與設施噪音舉發,中山區臺北市中山區朱馥里003鄰建國北路二段３５號,20240831,232631
202408311,大型廢棄物清運聯繫,大安區臺北市大安區福住里007鄰永康街１３巷１７之１號1樓,20240831,232828
202408311,用戶無水、漏水報修,北投區臺北市北投區石牌里012鄰西安街一段１６１號四樓,20240831,232308
202408311,大型廢棄物清運聯繫,松山區臺北市松山區新益里002鄰富錦街５７４巷９號1樓,20240831,232752
202408311,用戶無水、漏水報修,北投區臺北市北投區石牌里012鄰西安街一段１６１號,20240831,232510
202408311,交通號誌異常,松山區105台灣台北市松山區南京東路五段363號,20240831,232137
202408311,場所與設施噪音舉發,中山區臺北市中山區正得里011鄰中山北路一段８３巷９號,20240831,231736
202408311,場所與設施噪音舉發,大同區臺北市大同區至聖里020鄰酒泉街５６號,20240831,231823
202408311,路燈故障或設施損壞,內湖區114台灣台北市內湖區成功路五段38號,20240831,231015
202408311,道路散落物或油漬處理,中正區臺北市中正區新營里027鄰愛國東路１００號,20240831,225636
202408311,污染舉發,北投區臺北市北投區中庸里010鄰永興路一段２號1樓,20240831,225544
202408311,污染舉發,中山區臺北市中山區民安里010鄰中山北路二段１６巷１４號,20240831,225723
202408311,場所與設施噪音舉發,中山區臺北市中山區民安里010鄰中山北路二段１６巷１４號,20240831,225650
202408311,動物救援,萬華區臺北市萬華區騰雲里001鄰中華路二段６６６號,20240831,224915
202408311,場所與設施噪音舉發,大安區臺北市大安區通安里009鄰通化街６６號,20240831,223613
202408311,場所與設施噪音舉發,中山區臺北市中山區中央里001鄰建國北路二段９２號,20240831,223055
202408311,交通標誌及設施物損壞(含汙損)、傾斜,中山區南京東路一段-林森北路,20240831,222350
202408311,大型廢棄物清運聯繫,萬華區108台灣台北市萬華區興寧街66巷22弄18號,20240831,222229
202408311,污染舉發,士林區臺北市士林區永倫里021鄰倫等街３０巷９號四樓,20240831,222910
202408311,場所與設施噪音舉發,北投區TPE臺北市北投區清江里大興街77號,20240831,222007
202408311,路燈故障或設施損壞,萬華區艋舺大道120巷38弄16號,20240831,221946
202408311,大型廢棄物清運聯繫,南港區臺北市南港區玉成里002鄰南港路三段１３９號六樓,20240831,222235
202408311,路燈故障或設施損壞,松山區民生東路三段-敦化北路,20240831,221659
202408311,道路側溝溝蓋(含周邊)損壞遺失,文山區景文街,20240831,222240
202408311,場所與設施噪音舉發,文山區臺北市文山區景慶里009鄰萬慶街１２４號,20240831,221715
202408311,大型廢棄物清運聯繫,南港區115台灣台北市南港區東明街5號,20240831,221044
202408311,用戶無水、漏水報修,北投區臺北市北投區榮光里023鄰致遠一路二段１１２巷１８號二樓,20240831,220610
202408311,大型廢棄物清運聯繫,大安區TPE臺北市大安區仁慈里大安路一段206巷12號,20240831,220343
202408311,場所與設施噪音舉發,大安區臺北市大安區龍淵里002鄰復興南路二段３１６號,20240831,220129
202408311,用戶無水、漏水報修,北投區臺北市北投區榮光里008鄰西安街一段２９９巷２號,20240831,220002
202408311,場所與設施噪音舉發,松山區臺北市松山區美仁里010鄰北寧路６６之１號地下1樓,20240831,215339
202408311,大型廢棄物清運聯繫,松山區TPE臺北市松山區八德路路二段386號,20240831,215327
202408311,大型廢棄物清運聯繫,文山區臺北市文山區萬芳里002鄰木柵路四段９巷１號六樓,20240831,215156
202408311,大型廢棄物清運聯繫,大安區106台灣台北市大安區建國南路一段308號,20240831,214633
202408311,場所與設施噪音舉發,中山區臺北市中山區正義里008鄰林森北路１０７巷６２號1樓,20240831,214213
202408311,大型廢棄物清運聯繫,大安區臺北市大安區建倫里005鄰仁愛路四段１２５號二樓,20240831,213513
202408311,路燈故障或設施損壞,北投區關渡、金色水岸、八里左岸自行車道,參考地址：中央北路四段５８９號,20240831
202408311,大型廢棄物清運聯繫,內湖區114台灣台北市內湖區內湖路三段60巷52弄6號,20240831,212442
202408311,大型廢棄物清運聯繫,松山區臺北市松山區東勢里004鄰南京東路四段１３３巷６弄３１號二樓,20240831,211039
202408311,用戶無水、漏水報修,北投區臺北市北投區榮光里004鄰西安街一段２８１巷８號,20240831,210802
202408311,用戶無水、漏水報修,中山區臺北市中山區中吉里017鄰吉林路１０５號,20240831,210623
202408311,大型廢棄物清運聯繫,大安區臺北市大安區黎元里012鄰安居街１０８巷２２號8樓,20240831,210500
202408311,大型廢棄物清運聯繫,松山區臺北市松山區新東里009鄰民生東路五段２６０巷３１號四樓之4,20240831,210256
202408311,動物救援,士林區臺北市士林區忠誠里006鄰忠誠路一段１２６號,20240831,210119
202408311,大型廢棄物清運聯繫,內湖區臺北市內湖區康寧里008鄰康寧路三段１８９巷７３弄９號二樓,20240831,205708
202408311,大型廢棄物清運聯繫,大安區臺北市大安區龍圖里003鄰建國南路二段２５巷２５號二樓,20240831,205301
202408311,大型廢棄物清運聯繫,北投區臺北市北投區大同里005鄰中央北路一段１９３號六樓之1,20240831,205202
202408311,大型廢棄物清運聯繫,松山區臺北市松山區東勢里004鄰南京東路四段１３３巷６弄３１號二樓,20240831,204301
202408311,鄰里無主垃圾清運,南港區臺北市南港區新光里017鄰昆陽街１７１巷６弄７號,20240831,203654
202408311,場所與設施噪音舉發,中山區臺北市中山區新生里014鄰新生北路二段１４９巷４２號1樓,20240831,203618
202408311,用戶無水、漏水報修,文山區捷運動物園站(2號出口),20240831,203543
202408311,大型廢棄物清運聯繫,中正區臺北市中正區三愛里001鄰連雲街６巷８之２號1樓,20240831,203340
202408311,大型廢棄物清運聯繫,大安區臺北市大安區建安里015鄰敦化南路一段１８１號五樓,20240831,203325
202408311,路燈故障或設施損壞,大安區臺北市大安區建倫里021鄰敦化南路一段２３３巷２５號,20240831,203452
202408311,大型廢棄物清運聯繫,文山區116台灣台北市文山區溪口街107巷1弄2號,20240831,202646
202408311,路燈故障或設施損壞,內湖區臺北市內湖區瑞陽里011鄰江南街７１巷１６弄７４號,20240831,202537
202408311,大型廢棄物清運聯繫,文山區臺北市文山區萬芳里015鄰萬安街４４巷５號5樓之2,20240831,202330
202408311,大型廢棄物清運聯繫,北投區臺北市北投區東華里018鄰立農街二段２８５號二樓,20240831,202130
202408311,污染舉發,大安區臺北市大安區龍生里014鄰和平東路二段４９之３號1樓,20240831,202044
202408311,大型廢棄物清運聯繫,信義區臺北市信義區黎平里009鄰富陽街７２巷１１號三樓,20240831,201747
202408311,大型廢棄物清運聯繫,大安區106台灣台北市大安區光復南路676巷10弄7號,20240831,201455
202408311,場所與設施噪音舉發,信義區臺北市信義區西村里008鄰松壽路１１號,20240831,201637
202408311,交通號誌異常,中山區民權東路二段-建國北路三段,20240831,201359
202408311,交通號誌異常,中山區建國北路二段-民權東路二段,20240831,200921
202408311,交通號誌異常,大同區民族西路-民族西路225巷,20240831,200418
202408311,大型廢棄物清運聯繫,士林區臺北市士林區舊佳里018鄰美德街６９號二樓,20240831,200600
202408311,大型廢棄物清運聯繫,文山區116台灣台北市文山區政大二街215巷367號,20240831,195230
202408311,場所與設施噪音舉發,中正區臺北市中正區龍光里002鄰南海路５４號,20240831,195110
202408311,大型廢棄物清運聯繫,信義區臺北市信義區景勤里011鄰吳興街１５６巷６５弄１７號四樓,20240831,195115
202408311,污染舉發,內湖區臺北市內湖區金龍里016鄰內湖路三段７９號二樓,20240831,194957
202408311,路燈故障或設施損壞,內湖區碧山路40之7號,20240831,194937
202408311,場所與設施噪音舉發,中正區信義路二段-金山南路一段,20240831,194534
202408311,污染舉發,內湖區臺北市內湖區秀湖里021鄰大湖街１３１巷２弄４１號,20240831,194056
202408311,污染舉發,大安區臺北市大安區華聲里005鄰延吉街１３１巷１１號,20240831,194334
202408311,場所與設施噪音舉發,士林區臺北市士林區義信里004鄰大南路５８號三樓,20240831,194245
202408311,污染舉發,信義區臺北市信義區敦厚里021鄰永吉路１２０巷８２號,20240831,193657
202408311,鄰里無主垃圾清運,中正區臺北市中正區東門里004鄰紹興南街１２號,20240831,193614
202408311,大型廢棄物清運聯繫,文山區116台灣台北市文山區景興路188號,20240831,193520
202408311,污染舉發,北投區臺北市北投區大同里008鄰大同街９號,20240831,193554
202408311,大型廢棄物清運聯繫,內湖區臺北市內湖區週美里012鄰新明路３８０巷３弄２１號五樓,20240831,193532
202408311,污染舉發,文山區臺北市文山區景華里004鄰景華街１２號1樓,20240831,193533
202408311,路燈故障或設施損壞,南港區臺北市南港區東明里001鄰南港路二段１３號,20240831,193910
202408311,大型廢棄物清運聯繫,士林區臺北市士林區舊佳里018鄰美德街６９號二樓,20240831,193327
202408311,場所與設施噪音舉發,萬華區馬場町紀念公園,20240831,192947
202408311,污染舉發,萬華區臺北市萬華區新起里003鄰內江街１３０號2樓,20240831,192842
202408311,大型廢棄物清運聯繫,內湖區臺北市內湖區西湖里012鄰內湖路一段３２３巷２５號四樓,20240831,192812
202408311,路燈故障或設施損壞,文山區臺北市文山區興豐里016鄰興隆路二段９５巷３號,20240831,192450
202408311,道路散落物或油漬處理,大安區辛亥路一段-溫州街,20240831,192230
202408311,大型廢棄物清運聯繫,松山區臺北市松山區新聚里023鄰八德路四段３０９號1樓,20240831,192307
202408311,路燈故障或設施損壞,中山區臺北市中山區劍潭里013鄰通北街１１８巷６０號,20240831,192249
202408311,用戶無水、漏水報修,中山區臺北市中山區中吉里017鄰吉林路１０５號,20240831,191948
202408311,大型廢棄物清運聯繫,中山區臺北市中山區朱園里018鄰松江路２５巷９號九樓之6,20240831,191914
202408311,污染舉發,文山區臺北市文山區景華里015鄰景華街１５號1樓,20240831,191513
202408311,大型廢棄物清運聯繫,萬華區臺北市萬華區凌霄里011鄰中華路二段５０４巷１６號十二樓之2,20240831,191511
202408311,動物救援,中正區臺北市中正區忠勤里011鄰中華路二段３０７巷４０號,20240831,191331
202408311,大型廢棄物清運聯繫,內湖區臺北市內湖區安泰里011鄰安泰街８１號十一樓,20240831,191157
202408311,大型廢棄物清運聯繫,南港區115台灣台北市南港區東新街10-9號,20240831,190620
202408311,大型廢棄物清運聯繫,中正區臺北市中正區永昌里015鄰詔安街２３６號5樓,20240831,190820
202408311,場所與設施噪音舉發,士林區承德路四段-劍潭路,20240831,190218
202408311,大型廢棄物清運聯繫,北投區實踐街６６號二樓,20240831,190149
202408311,大型廢棄物清運聯繫,中山區臺北市中山區下埤里005鄰復興北路４３０巷３８號三樓,20240831,190055
202408311,污染舉發,內湖區臺北市內湖區明湖里005鄰康寧路三段１６５巷１６號1樓,20240831,185924
202408311,大型廢棄物清運聯繫,士林區重慶北路四段７９之４號,20240831,185859
202408311,場所與設施噪音舉發,中山區長安東路一段52巷-長安東路一段30巷3弄,20240831,185445
202408311,路樹處理,文山區臺北市文山區華興里020鄰木柵路一段２０６號,20240831,185653
202408311,動物救援,中山區臺北市中山區興亞里010鄰新生北路一段４５號,20240831,185439
202408311,鄰里無主垃圾清運,南港區臺北市南港區百福里011鄰福德街３０９巷１９號,20240831,184515
202408311,污染舉發,南港區南港路一段137巷5弄12號1樓,20240831,184109
202408311,大型廢棄物清運聯繫,內湖區114台灣台北市內湖區安泰街51巷5-1號,20240831,183835
202408311,大型廢棄物清運聯繫,中山區臺北市中山區中山里009鄰中山北路二段７７巷２０號五樓,20240831,183046
202408311,污染舉發,萬華區臺北市萬華區新起里003鄰內江街１２６號二樓,20240831,182726
202408311,用戶無水、漏水報修,北投區臺北市北投區榮光里002鄰西安街一段２８１巷７號,20240831,182509
202408311,道路側溝溝蓋(含周邊)損壞遺失,萬華區臺北市萬華區菜園里007鄰環河南路一段１０５號,20240831,182238
202408311,大型廢棄物清運聯繫,信義區臺北市信義區三張里023鄰莊敬路３９１巷２弄５號三樓,20240831,182133
202408311,大型廢棄物清運聯繫,士林區臺北市士林區德行里002鄰中山北路五段８２９巷１５弄５號二樓,20240831,181739
202408311,市區道路坑洞處理,士林區臺北市士林區永倫里018鄰社中街４２６巷１０號,20240831,181700
202408311,鄰里無主垃圾清運,士林區臺北市士林區天母里016鄰中山北路七段８１巷３０之１號,20240831,181730
202408311,大型廢棄物清運聯繫,大安區臺北市大安區群英里005鄰和平東路二段２６５巷２５弄８號九樓,20240831,181118
202408311,大型廢棄物清運聯繫,大安區臺北市大安區龍雲里013鄰大安路二段１５８號1樓,20240831,180933
202408311,大型廢棄物清運聯繫,大安區臺北市大安區芳和里014鄰和平東路三段２１２巷１２號七樓,20240831,181015
202408311,大型廢棄物清運聯繫,文山區臺北市文山區試院里001鄰和興路１１２號七樓,20240831,180844
202408311,大型廢棄物清運聯繫,內湖區臺北市內湖區五分里020鄰康寧路三段２６７號二樓,20240831,180807
202408311,市區道路坑洞處理,大安區臺北市大安區民炤里017鄰信義路三段６５號,20240831,180434
202408311,污染舉發,萬華區臺北市萬華區和德里006鄰寶興街３８巷７號1樓,20240831,180421
202408311,人孔蓋(含周邊)破損、遺失處理,大安區臺北市大安區民炤里017鄰信義路三段６５號,20240831,180228
202408311,大型廢棄物清運聯繫,士林區臺北市士林區德行里002鄰中山北路五段８２９巷１５弄５號二樓,20240831,180049
202408311,大型廢棄物清運聯繫,文山區臺北市文山區萬隆里007鄰羅斯福路五段２２６號六樓,20240831,175152
202408311,大型廢棄物清運聯繫,松山區臺北市松山區新聚里003鄰基隆路一段３８號八樓,20240831,174955
202408311,大型廢棄物清運聯繫,南港區臺北市南港區新光里010鄰昆陽街１９２號四樓,20240831,174412
202408311,大型廢棄物清運聯繫,北投區臺北市北投區裕民里001鄰懷德街３之７號三樓,20240831,174317
202408311,大型廢棄物清運聯繫,文山區116台灣台北市文山區光輝路21巷9號,20240831,173414
202408311,大型廢棄物清運聯繫,大同區臺北市大同區老師里011鄰迪化街二段３０７號6樓,20240831,173040
202408311,動物救援,信義區臺北市信義區六合里033鄰景雲街２４號,20240831,172844
202408311,大型廢棄物清運聯繫,文山區臺北市文山區景仁里003鄰溪口街３６巷７號四樓,20240831,172950
202408311,大型廢棄物清運聯繫,士林區臺北市士林區後港里023鄰通河東街二段１０巷５弄１６號二樓,20240831,172948
202408311,大型廢棄物清運聯繫,大同區臺北市大同區至聖里008鄰承德路三段２１２號五樓,20240831,172830
202408311,大型廢棄物清運聯繫,松山區臺北市松山區新聚里005鄰寶清街１號1樓,20240831,173007
202408311,大型廢棄物清運聯繫,中山區臺北市中山區朱馥里001鄰長春路１９３號十二樓之1,20240831,172510
202408311,大型廢棄物清運聯繫,士林區臺北市士林區岩山里012鄰忠義街７１巷７號二樓,20240831,172501
202408311,大型廢棄物清運聯繫,中山區臺北市中山區晴光里006鄰林森北路５７５號四樓,20240831,172031
202408311,路燈故障或設施損壞,中山區臺北市中山區中央里001鄰長春路１６７號,20240831,171847
202408311,大型廢棄物清運聯繫,中山區臺北市中山區正守里011鄰林森北路６７巷４６號1樓,20240831,172003
