案件編號,派工項目,案件地址,立案日期,立案時間
2020020100001,場所與設施噪音舉發,萬華區臺北市萬華區壽德里007鄰萬大路４２３巷５９號,20200201,000900
2020020100002,道路側溝溝蓋(含周邊)損壞遺失,北投區112台灣台北市北投區立賢路168號,20200201,001100
2020020100005,大型廢棄物清運聯繫,士林區臺北市士林區蘭興里011鄰克強路７號,20200201,003300
2020020100006,用戶無水、漏水報修,大安區臺北市大安區華聲里018鄰延吉街９７巷１１號,20200201,003600
2020020100007,交通號誌異常,北投區大度路三段-大度路二段與立德路交叉口,20200201,004400
2020020100008,場所與設施噪音舉發,中正區臺北市中正區三愛里008鄰仁愛路二段８６號,20200201,004700
2020020100009,場所與設施噪音舉發,中山區長安東路一段53巷1-6號,20200201,005300
2020020100011,場所與設施噪音舉發,大同區臺北市大同區至聖里017鄰大龍街２５９巷１２號,20200201,005900
2020020100012,場所與設施噪音舉發,信義區臺北市信義區西村里008鄰松壽路１２號,20200201,011400
2020020100013,場所與設施噪音舉發,中山區臺北市中山區正義里015鄰林森北路１５９巷４４號,20200201,011700
2020020100014,場所與設施噪音舉發,中山區臺北市中山區正義里015鄰林森北路１５９巷４６號,20200201,015500
2020020100015,場所與設施噪音舉發,信義區臺北市信義區西村里008鄰松壽路１２號,20200201,020400
2020020100016,場所與設施噪音舉發,松山區臺北市松山區敦化里028鄰市民大道四段１６３號,20200201,031500
2020020100018,大型廢棄物清運聯繫,中山區臺北市中山區中吉里009鄰松江路１５６巷２８號,20200201,050900
2020020100019,用戶無水、漏水報修,北投區裕民六路101巷-裕民二路49巷在裕民六路101巷上,20200201,053900
2020020100021,交通號誌異常,信義區松信路-松隆路,20200201,055100
2020020100022,交通號誌異常,中正區愛國西路-重慶南路一段在愛國西路上東往西方向,20200201,061000
2020020100023,路燈故障或設施損壞,文山區道南橋往指南路二段方向在道南橋周邊靠近景美溪的堤防,20200201,070000
2020020100024,大型廢棄物清運聯繫,內湖區臺北市內湖區安湖里012鄰東湖路１１３巷９５弄１０４號,20200201,071800
2020020100025,大型廢棄物清運聯繫,信義區臺北市信義區大仁里028鄰林口街２４巷１２號,20200201,072800
2020020100026,場所與設施噪音舉發,中正區寧波西街85-1號,20200201,075200
2020020100027,交通號誌異常,內湖區新湖二路-民善街路口,20200201,080200
2020020100028,用戶無水、漏水報修,文山區臺北市文山區萬美里009鄰萬美街一段８９號,20200201,080700
2020020100029,道路散落物或油漬處理,內湖區舊宗路一段新湖三路往新湖二路之間路段,20200201,082200
2020020100030,場所與設施噪音舉發,松山區105台灣台北市松山區八德路二段429號,20200201,082900
2020020100032,大型廢棄物清運聯繫,信義區臺北市信義區松友里001鄰信義路六段１２０號,20200201,084000
2020020100033,場所與設施噪音舉發,松山區八德路四段214號,20200201,084800
2020020100034,大型廢棄物清運聯繫,中正區臺北市中正區忠勤里019鄰惠安街７號,20200201,084600
2020020100035,大型廢棄物清運聯繫,士林區臺北市士林區德行里011鄰福華路１２８巷３弄５２號,20200201,084600
2020020100036,大型廢棄物清運聯繫,信義區臺北市信義區永吉里014鄰中坡北路４３巷３號,20200201,084600
2020020100037,污染舉發,中正區紹興南街32巷與仁愛路一段26巷交叉口,20200201,090000
2020020100038,用戶無水、漏水報修,松山區臺北市松山區新聚里029鄰南京東路五段２１２號,20200201,085300
2020020100039,大型廢棄物清運聯繫,內湖區臺北市內湖區紫陽里010鄰文德路２１０巷３０弄７２號,20200201,085600
2020020100040,用戶無水、漏水報修,松山區臺北市松山區新聚里029鄰南京東路五段２１２號,20200201,085900
2020020100041,鄰里無主垃圾清運,中山區臺北市中山區朱馥里011鄰龍江路２１９號,20200201,090400
2020020100042,用戶無水、漏水報修,中山區臺北市中山區中庄里015鄰吉林路１６１巷３號,20200201,090900
2020020100043,污染舉發,萬華區艋舺大道275巷與艋舺大道路口轉角 ,20200201,091000
2020020100044,交通號誌異常,士林區故宮路34巷口,20200201,091100
2020020100045,場所與設施噪音舉發,文山區臺北市文山區萬芳里031鄰萬芳路２２號,20200201,091200
2020020100046,場所與設施噪音舉發,內湖區114台灣台北市內湖區康樂街72巷17弄91號,20200201,091500
2020020100047,場所與設施噪音舉發,大同區103台灣台北市大同區延平北路三段83號,20200201,092500
2020020100048,場所與設施噪音舉發,士林區臺北市士林區蘭雅里021鄰中山北路六段１８６巷２５弄７號,20200201,094200
2020020100050,鄰里無主垃圾清運,中正區臺北市中正區螢圃里010鄰?門街７１巷２６號,20200201,095000
2020020100051,場所與設施噪音舉發,萬華區臺北市萬華區富民里001鄰西園路一段５７號,20200201,095700
2020020100053,場所與設施噪音舉發,中山區臺北市中山區江寧里005鄰合江街１８０巷２１號,20200201,095800
2020020100054,大型廢棄物清運聯繫,萬華區臺北市萬華區和德里005鄰興義街１１號,20200201,100000
2020020100055,大型廢棄物清運聯繫,內湖區臺北市內湖區紫陽里017鄰陽光街９２巷２５弄１２號,20200201,100400
2020020100056,用戶無水、漏水報修,中山區松江路204巷巷口,20200201,100700
2020020100057,場所與設施噪音舉發,萬華區昆明街-開封街二段(靠近臺北萬華運動中心),20200201,100800
2020020100058,場所與設施噪音舉發,文山區臺北市文山區興邦里008鄰興隆路二段２０３巷２弄２號,20200201,101100
2020020100059,大型廢棄物清運聯繫,大安區臺北市大安區黎和里009鄰和平東路三段４１６巷２５弄５號,20200201,101700
2020020100060,道路散落物或油漬處理,內湖區堤頂大道一段北往南方向(民權大橋正下方路段),20200201,102100
2020020100061,場所與設施噪音舉發,中山區臺北市中山區正得里014鄰林森北路１３８巷３１號,20200201,102400
2020020100062,大型廢棄物清運聯繫,文山區臺北市文山區樟樹里002鄰木新路三段１７２巷３號,20200201,102600
2020020100063,大型廢棄物清運聯繫,信義區臺北市信義區黎忠里019鄰和平東路三段３９１巷５７弄２１號,20200201,102900
2020020100064,鄰里無主垃圾清運,松山區臺北市松山區東光里033鄰南京東路五段１６１號,20200201,104100
2020020100065,大型廢棄物清運聯繫,中山區臺北市中山區集英里014鄰天祥路３７號,20200201,104200
2020020100067,大型廢棄物清運聯繫,文山區臺北市文山區樟新里009鄰樟新街５巷１２號,20200201,104800
2020020100068,污染舉發,大安區臺北市大安區光武里018鄰市民大道四段２４號,20200201,110100
2020020100069,用戶無水、漏水報修,文山區萬美街一段89號,20200201,105900
2020020100070,場所與設施噪音舉發,大安區臺北市大安區錦安里011鄰和平東路一段１２９號,20200201,111200
2020020100071,用戶無水、漏水報修,北投區臺北市北投區秀山里009鄰中和街５０２巷６弄１號,20200201,111100
2020020100072,大型廢棄物清運聯繫,南港區臺北市南港區新光里005鄰昆陽街１４０巷３０號,20200201,111500
2020020100073,大型廢棄物清運聯繫,大安區羅斯福路三段285號,20200201,112000
2020020100074,大型廢棄物清運聯繫,松山區臺北市松山區自強里007鄰三民路７４巷４號,20200201,111900
2020020100075,污染舉發,松山區臺北市松山區安平里025鄰寶清街１０３巷２６號,20200201,111700
2020020100076,大型廢棄物清運聯繫,信義區臺北市信義區安康里014鄰信義路六段１５巷６號,20200201,111800
2020020100077,鄰里無主垃圾清運,文山區臺北市文山區景美里013鄰育英街６７號,20200201,112500
2020020100078,用戶無水、漏水報修,北投區臺北市北投區秀山里010鄰中和街５０２巷３弄３２號,20200201,112000
2020020100079,場所與設施噪音舉發,信義區臺北市信義區松友里021鄰松德路３０７巷４號,20200201,112100
2020020100081,大型廢棄物清運聯繫,大安區臺北市大安區光信里017鄰光復南路５６０巷２號,20200201,112400
2020020100082,大型廢棄物清運聯繫,大安區臺北市大安區龍圖里008鄰復興南路二段１２巷１號,20200201,112800
2020020100083,場所與設施噪音舉發,信義區110台灣台北市信義區信義路五段150巷11弄6號,20200201,113100
2020020100084,大型廢棄物清運聯繫,內湖區臺北市內湖區港富里016鄰港墘路９號,20200201,113200
