案件編號,派工項目,案件地址,立案日期,立案時間
202307010,路燈故障或設施損壞,萬華區廣州街81巷-柳州街86巷,20230701,000500
202307010,道路散落物或油漬處理,中正區寧波西街-重慶南路二段,20230701,001700
202307010,場所與設施噪音舉發,內湖區臺北市內湖區行善里022鄰行善路１號,20230701,000700
202307010,大型廢棄物清運聯繫,信義區110台灣台北市信義區信義路五段150巷335弄9號,20230701,001200
202307010,大型廢棄物清運聯繫,北投區臺北市北投區立賢里002鄰承德路七段３４２巷１３號,20230701,001500
202307010,場所與設施噪音舉發,內湖區臺北市內湖區週美里017鄰行善路６１號,20230701,001900
202307010,大型廢棄物清運聯繫,信義區110台灣台北市信義區台5線455號,20230701,002000
202307010,路燈故障或設施損壞,士林區至善路三段150巷,20230701,002600
202307010,場所與設施噪音舉發,萬華區臺北市萬華區新起里015鄰內江街３４號,20230701,002700
202307010,場所與設施噪音舉發,中山區臺北市中山區正義里005鄰林森北路８５巷６１號,20230701,002900
202307010,大型廢棄物清運聯繫,中山區臺北市中山區下埤里007鄰龍江路３７７巷２號,20230701,003500
202307010,路燈故障或設施損壞,松山區南京東路四段-敦化北路,20230701,003700
202307010,場所與設施噪音舉發,內湖區臺北市內湖區行善里022鄰行善路１號,20230701,004400
202307010,污染舉發,信義區臺北市信義區五常里010鄰永吉路２２５巷２７號,20230701,004500
202307010,路燈故障或設施損壞,松山區臺北市松山區中正里031鄰復興北路９９號,20230701,010600
202307010,大型廢棄物清運聯繫,大安區臺北市大安區臨江里014鄰基隆路二段１２６號,20230701,010700
202307010,路燈故障或設施損壞,士林區延平北路五段163巷40弄,20230701,010600
202307010,大型廢棄物清運聯繫,大同區台北市大同區重慶北路二段196號,20230701,010700
202307010,道路散落物或油漬處理,中山區臺北市中山區康樂里005鄰林森北路２６０號,20230701,011700
202307010,場所與設施噪音舉發,士林區百齡橋,20230701,012200
202307010,場所與設施噪音舉發,內湖區臺北市內湖區行善里020鄰行善路３５號,20230701,012600
202307010,場所與設施噪音舉發,中山區臺北市中山區新生里005鄰民權東路二段９２巷２弄２３號,20230701,012500
202307010,場所與設施噪音舉發,內湖區臺北市內湖區行善里020鄰行善路３５號,20230701,013100
202307010,場所與設施噪音舉發,中山區臺北市中山區正義里008鄰林森北路１０７巷６２號,20230701,014200
202307010,路燈故障或設施損壞,松山區敦化北路-長春路,20230701,014200
202307010,大型廢棄物清運聯繫,大安區臺北市大安區住安里007鄰信義路四段３０巷２７弄１１號,20230701,014900
202307010,大型廢棄物清運聯繫,萬華區臺北市萬華區富民里003鄰西昌街１３５號,20230701,015800
202307010,路燈故障或設施損壞,士林區111台灣台北市士林區重慶北路四段117號,20230701,020900
202307010,大型廢棄物清運聯繫,信義區臺北市信義區松隆里003鄰福德街５１巷１７號,20230701,021500
202307010,大型廢棄物清運聯繫,內湖區臺北市內湖區東湖里008鄰東湖路１１９巷４９弄２２號,20230701,021700
202307010,場所與設施噪音舉發,萬華區臺北市萬華區萬壽里001鄰武昌街二段１０號,20230701,030900
202307010,場所與設施噪音舉發,內湖區行善路59巷,20230701,031000
202307010,場所與設施噪音舉發,大同區捷運圓山站(2號,20230701,034000
202307010,場所與設施噪音舉發,內湖區臺北市內湖區行善里019鄰行善路５９巷１號,20230701,035100
202307010,動物救援,大安區公館國小,20230701,043900
202307010,用戶無水、漏水報修,萬華區臺北市萬華區萬壽里009鄰武昌街二段８３之１０號,20230701,044400
202307010,道路散落物或油漬處理,內湖區陽光街321巷6號,20230701,054000
202307010,大型廢棄物清運聯繫,南港區臺北市南港區西新里011鄰南港路三段１６巷１弄１４號,20230701,055400
202307010,道路散落物或油漬處理,士林區臺北市士林區溪山里006鄰至善路三段２６９號,20230701,061600
202307010,交通標誌及設施物損壞(含汙損)、傾斜,中山區104台灣台北市中山區南京東路三段132號,20230701,064700
202307010,大型廢棄物清運聯繫,信義區臺北市信義區國業里016鄰松山路５４０巷３弄１３號,20230701,065000
202307010,人孔蓋(含周邊)破損、遺失處理,松山區基隆路一段-八德路四段,20230701,070000
202307010,場所與設施噪音舉發,中山區臺北市中山區正得里012鄰中山北路一段１２１巷２６號,20230701,070300
202307010,道路散落物或油漬處理,大同區臺北市大同區大有里012鄰安西街１巷１５號,20230701,070700
202307010,路燈故障或設施損壞,松山區105台灣台北市松山區新東街31號,20230701,071000
202307010,污染舉發,北投區建德橋,20230701,071700
202307010,道路散落物或油漬處理,中正區水源快速道路,20230701,072700
202307010,鄰里無主垃圾清運,松山區八德路三段106巷-光復南路66巷,20230701,072900
202307010,大型廢棄物清運聯繫,萬華區臺北市萬華區日善里012鄰萬大路１８０號,20230701,073200
202307010,場所與設施噪音舉發,北投區清江路91巷,20230701,074400
202307010,場所與設施噪音舉發,大同區重慶北路二段-歸綏街,20230701,075000
202307010,道路散落物或油漬處理,中正區水源快速道路,20230701,075500
202307010,場所與設施噪音舉發,內湖區臺北市內湖區樂康里005鄰康樂街８５巷５１號,20230701,081300
202307010,場所與設施噪音舉發,士林區至善路二段,20230701,080700
202307010,路樹處理,士林區臺北市士林區社園里016鄰永平街８０巷３５號,20230701,081100
