案件編號,派工項目,案件地址,立案日期,立案時間
2019040100001,場所與設施噪音舉發,內湖區臺北市內湖區港富里1鄰內湖路一段737巷8弄10號,20190401,000800
2019040100002,場所與設施噪音舉發,中正區信陽街-公園路,20190401,001600
2019040100003,場所與設施噪音舉發,中正區公園路30-1號,20190401,002000
2019040100004,大型廢棄物清運聯繫,中正區臺北市中正區南福里10鄰和平西路一段59號,20190401,002200
2019040100005,場所與設施噪音舉發,中正區臺北市中正區黎明里12鄰公園路28號,20190401,003300
2019040100006,場所與設施噪音舉發,北投區臺北市北投區關渡里21鄰知行路300號,20190401,011300
2019040100007,場所與設施噪音舉發,萬華區西園路一段53號,20190401,013200
2019040100008,場所與設施噪音舉發,萬華區臺北市萬華區西門里2鄰成都路159號,20190401,015800
2019040100009,場所與設施噪音舉發,中山區劍南路站,20190401,020400
2019040100010,場所與設施噪音舉發,松山區市民大道四段161號,20190401,021100
2019040100011,場所與設施噪音舉發,萬華區梧州街-桂林路口在梧州街上(民眾不清楚確切位置),20190401,021900
2019040100013,場所與設施噪音舉發,士林區臺北市士林區仁勇里9鄰大北路6號,20190401,025200
2019040100015,交通號誌異常,士林區中山北路六段-天母東路路口,20190401,040400
2019040100016,道路散落物或油漬處理,南港區臺北市南港區新光里11鄰忠孝東路六段465號,20190401,042700
2019040100017,交通號誌異常,大同區延平北路四段-敦煌路,20190401,050700
2019040100019,用戶無水、漏水報修,大安區臺北市大安區民炤里8鄰新生南路一段161巷1號,20190401,055600
2019040100020,大型廢棄物清運聯繫,信義區吳興街368巷2號,20190401,064100
2019040100021,鄰里無主垃圾清運,南港區臺北市南港區三重里3鄰重陽路480號,20190401,064300
2019040100022,污染舉發,南港區臺北市南港區舊莊里19鄰舊莊街一段290巷3弄4號,20190401,072100
2019040100023,市區道路坑洞處理,萬華區華江橋 往環河南路方向 下橋處匝道口 汽車道 ,20190401,073100
2019040100024,道路散落物或油漬處理,松山區基隆路一段與市民大道六段交叉口往北方向,20190401,073400
2019040100025,大型廢棄物清運聯繫,中正區?門街113巷22-1號,20190401,074600
2019040100026,交通號誌異常,中山區臺北市中山區劍潭里15鄰北安路269號,20190401,074500
2019040100027,交通標誌及設施物損壞(含汙損)、傾斜,中正區紹興北街31巷15弄弄口,20190401,082000
2019040100028,污染舉發,中正區紹興北街31巷15弄弄口,20190401,082500
2019040100029,大型廢棄物清運聯繫,內湖區大湖山莊街151巷5號,20190401,082600
2019040100030,大型廢棄物清運聯繫,松山區臺北市松山區東光里2鄰南京東路五段23巷15弄13號,20190401,083500
2019040100031,鄰里無主垃圾清運,大同區哈密街83巷1號,20190401,084200
2019040100032,大型廢棄物清運聯繫,文山區溪口街70號,20190401,084000
2019040100033,道路散落物或油漬處理,中山區新生北路高架橋（北往南下長春路匝道口前100公尺的右側車道）,20190401,084800
2019040100034,鄰里無主垃圾清運,大同區西寧北路86巷16號,20190401,084700
2019040100035,道路散落物或油漬處理,中山區新生北路二段-長春路在新生高架道路上往南過長春路之前,20190401,084800
2019040100036,道路散落物或油漬處理,中山區新生高架,20190401,084800
2019040100037,道路散落物或油漬處理,中山區新生高架道路南向從民族東路匝道進去約150公尺處,20190401,085400
2019040100038,大型廢棄物清運聯繫,信義區臺北市信義區三張里19鄰吳興街281巷1號,20190401,085300
2019040100039,道路散落物或油漬處理,中山區新生高架道路北往南方向於民生東路一段到忠孝東路二段之間,20190401,085600
2019040100040,大型廢棄物清運聯繫,松山區三民路6號,20190401,090000
2019040100041,大型廢棄物清運聯繫,松山區健康路185巷18號,20190401,090100
2019040100042,場所與設施噪音舉發,中山區林森北路383巷6號,20190401,090500
2019040100043,場所與設施噪音舉發,信義區臺北市信義區松光里18鄰松山路465巷14弄13號,20190401,090800
