案件編號,派工項目,案件地址,立案日期,立案時間
202410311,路樹處理,松山區105台灣台北市松山區健康路323號,20241031,235955
202410311,路樹處理,信義區臺北市臺北市信義區西村里松壽路2號,20241031,235937
202410311,路樹處理,萬華區108台灣台北市萬華區和平西路三段310-1號,20241031,235059
202410311,路樹處理,內湖區臺北市臺北市內湖區湖興里瑞光路61號,20241031,234449
202410311,場所與設施噪音舉發,中山區臺北市中山區恆安里007鄰雙城街３巷１０號,20241031,234231
202410311,路樹處理,內湖區臺北市臺北市內湖區文德路115號,20241031,232923
202410311,路樹處理,士林區111台灣台北市士林區中山北路七段114巷69弄7號,20241031,232453
202410311,路樹處理,內湖區臺北市臺北市內湖區紫陽里文德路,20241031,232429
202410311,路樹處理,士林區臺北市臺北市士林區葫東里重慶北路四段176號,20241031,232224
202410311,路樹處理,大同區臺北市臺北市大同區重慶里通河西街一段2號,20241031,231944
202410311,路樹處理,大安區臺北市臺北市大安區義安里敦化南路二段33號,20241031,231801
202410311,鄰里無主垃圾清運,內湖區114台灣台北市內湖區新明路312巷2號,20241031,230143
202410311,交通標誌及設施物損壞(含汙損)、傾斜,士林區111台灣台北市士林區中正路235巷38號,20241031,225446
202410311,路樹處理,北投區112台灣台北市北投區吉利街153號吉利公園,20241031,224552
202410311,鄰里無主垃圾清運,信義區110台灣台北市信義區松山路654號,20241031,224241
202410311,道路散落物或油漬處理,北投區臺北市臺北市北投區八仙里崇仁路一段166巷10號,20241031,224049
202410311,路樹處理,中正區臺北市中正區中華路二段503號,20241031,223904
202410311,交通號誌電纜線垂落及設施損壞,內湖區114台灣台北市內湖區新明路428巷13-1號,20241031,223704
202410311,路樹處理,大安區106台灣台北市大安區新生南路三段72號,20241031,223651
202410311,路樹處理,大同區臺北市臺北市大同區重慶里重慶北路四段2,20241031,223512
202410311,道路散落物或油漬處理,信義區110台灣台北市信義區松山路658號,20241031,223326
202410311,路樹處理,南港區臺北市臺北市南港區中研里研究院路二段106–108,20241031,222656
202410311,大型廢棄物清運聯繫,士林區臺北市士林區天祿里007鄰士東路８９巷２２弄２０號1樓,20241031,222635
202410311,路樹處理,萬華區臺北市臺北市萬華區新起里內江街84號,20241031,222408
202410311,場所與設施噪音舉發,南港區後山埤站出口4,參考地址：玉成街８６巷５２號,20241031
202410311,路樹處理,中山區10491台灣台北市中山區龍江路229巷7號,20241031,221908
202410311,路樹處理,內湖區臺北市臺北市內湖區寶湖里,20241031,221818
202410311,路樹處理,南港區臺北市臺北市南港區中研里研究院路二段106–108,20241031,221529
202410311,路樹處理,北投區112台灣台北市北投區稻香路161巷9 樓10 之1號,20241031,221042
202410311,路樹處理,中正區臺北市臺北市中正區南門里廣州街2號,20241031,220739
202410311,道路散落物或油漬處理,信義區110台灣台北市信義區忠孝東路五段790巷25弄13號,20241031,215800
202410311,路樹處理,中正區100台灣台北市中正區辛亥路一段33號,20241031,215737
202410311,場所與設施噪音舉發,南港區臺北市南港區合成里011鄰忠孝東路六段９巷９號,20241031,215538
202410311,路樹處理,內湖區114台灣台北市內湖區捷運大湖公園站,20241031,214745
202410311,路燈不亮或損壞,文山區臺北市臺北市文山區博嘉里文山隧道,20241031,214631
202410311,路樹處理,中山區臺北市臺北市中山區朱園里渭水路3巷30號,20241031,214501
202410311,路樹處理,文山區臺北市臺北市文山區興昌里辛亥路四段77巷43號,20241031,214449
202410311,路樹處理,文山區臺北市臺北市文山區興泰里辛亥路四段,20241031,214405
202410311,路樹處理,松山區臺北市臺北市松山區莊敬里撫遠街394之1號,20241031,213907
202410311,大型廢棄物清運聯繫,內湖區臺北市內湖區碧山里010鄰內湖路三段６０巷１０弄３６號四樓,20241031,213918
202410311,路樹處理,松山區臺北市臺北市松山區中華里,20241031,213649
202410311,路樹處理,中正區臺北市臺北市中正區文北里濟南路二段4號,20241031,213440
202410311,路樹處理,大安區106台灣台北市大安區羅斯福路四段113巷19號,20241031,213311
202410311,路樹處理,中山區臺北市臺北市中山區江山里合江街73巷3–13,20241031,213222
202410311,大型廢棄物清運聯繫,士林區111台灣台北市士林區中山北路六段277巷4弄16號,20241031,213138
202410311,路樹處理,松山區臺北市臺北市松山區莊敬里撫遠街386巷2號,20241031,213103
202410311,路樹處理,士林區臺北市臺北市士林區天壽里中山北路六段405巷6號,20241031,213045
202410311,路樹處理,士林區中山北路六段405巷4號,20241031,212911
202410311,路樹處理,大安區106台灣台北市大安區基隆路三段65巷57號,20241031,212617
202410311,大型廢棄物清運聯繫,信義區110台灣台北市信義區松隆路2號,20241031,212607
202410311,大型廢棄物清運聯繫,大同區臺北市大同區雙連里007鄰承德路二段１７５巷１０號三樓,20241031,212850
202410311,路樹處理,大安區106台灣台北市大安區辛亥路二段79號,20241031,212423
202410311,大型廢棄物清運聯繫,大安區台北市大安區浦城街13巷9-3號,20241031,212142
202410311,道路邊坡坍方,北投區112台灣台北市北投區珠海路161巷7 樓2號,20241031,212124
202410311,路樹處理,大安區106台灣台北市大安區羅斯福路四段119巷60弄11號,20241031,211820
202410311,路燈不亮或損壞,中山區10491台灣台北市中山區松江路22-1號,20241031,211602
202410311,路樹處理,士林區忠誠路二段154巷,20241031,211439
202410311,路樹處理,士林區士東路200巷,20241031,211411
202410311,路樹處理,大安區106台灣台北市大安區辛亥路三段330號,20241031,211357
202410311,路燈不亮或損壞,中山區104台灣台北市中山區松江路26巷2-1號,20241031,211348
202410311,大型廢棄物清運聯繫,信義區臺北市信義區富台里017鄰忠孝東路五段４５３號二樓之5,20241031,211600
202410311,大型廢棄物清運聯繫,信義區臺北市信義區國業里019鄰虎林街２０９號四樓,20241031,211339
202410311,路樹處理,中山區臺北市臺北市中山區復華里龍江路155–161,20241031,211149
202410311,大型廢棄物清運聯繫,文山區臺北市文山區樟新里013鄰一壽街１７巷９號三樓,20241031,211200
202410311,路樹處理,大安區106台灣台北市大安區建國南路二段269號,20241031,210829
202410311,路樹處理,大同區臺北市臺北市大同區保安里重慶北路三段289,20241031,210650
202410311,路樹處理,大安區106台灣台北市大安區和平東路二段94號,20241031,210332
202410311,道路散落物或油漬處理,大安區臺北市臺北市大安區基隆路二段150號,20241031,210252
202410311,市區道路坑洞處理,中正區100台灣台北市中正區寧波西街181巷18號,20241031,205351
202410311,路樹處理,大安區106台灣台北市大安區建國南路二段276 之1號,20241031,205123
202410311,道路散落物或油漬處理,士林區111台灣台北市士林區德行東路10號,20241031,204933
202410311,路樹處理,中山區10491台灣台北市中山區龍江路158號,20241031,204848
202410311,道路散落物或油漬處理,士林區111台灣台北市士林區忠誠路一段5f號,20241031,204839
202410311,道路散落物或油漬處理,松山區臺北市臺北市松山區龍田里延壽街402巷3弄19之1號,20241031,204830
202410311,路樹處理,信義區臺北市臺北市松山區復盛里市民大道五段97,20241031,204747
202410311,路樹處理,大安區建國南路二段334巷,20241031,204735
202410311,道路散落物或油漬處理,松山區臺北市臺北市松山區龍田里光復北路155巷5號,20241031,204655
202410311,路樹處理,大安區建國南路二段308巷,20241031,204627
202410311,路樹處理,大安區臺北市臺北市大安區敦化南路二段63巷口,20241031,204613
202410311,大型廢棄物清運聯繫,大安區臺北市大安區龍泉里002鄰師大路５９巷３號四樓,20241031,204946
202410311,路樹處理,大安區建國南路二段294巷,20241031,204458
202410311,路樹處理,松山區臺北市臺北市松山區吉祥里八德路四段17巷13,20241031,204403
202410311,路樹處理,松山區撫遠街379巷,20241031,204350
202410311,路樹處理,松山區臺北市臺北市松山區復盛里光復南路,20241031,204331
202410311,路樹處理,松山區臺北市臺北市松山區復盛里光復南路,20241031,212617
202410311,交通號誌異常,文山區臺北市臺北市文山區興昌里萬美街二段,20241031,204228
202410311,道路散落物或油漬處理,松山區長春路442號,20241031,204204
202410311,路樹處理,松山區臺北市臺北市松山區吉祥里八德路四段17巷13,20241031,212833
202410311,路樹處理,大安區臺北市臺北市大安區法治里通化街176巷15號,20241031,203959
202410311,路樹處理,信義區110台灣台北市信義區永吉路350號,20241031,203905
202410311,路樹處理,中山區臺北市臺北市中山區劍潭里,20241031,203853
202410311,路樹處理,大安區臺北市臺北市大安區敦安里仁愛路四段118,20241031,203645
202410311,路樹處理,大安區臺北市臺北市大安區義安里敦化南路二段63巷21弄,20241031,203522
202410311,市區道路坑洞處理,中正區100台灣台北市中正區汀州路一段216號,20241031,203408
202410311,路樹處理,松山區臺北市臺北市松山區慈祐里市民大道六段,20241031,203340
202410311,路樹處理,大安區臺北市臺北市大安區全安里敦化南路二段207號,20241031,203242
202410311,路樹處理,大安區臺北市臺北市大安區敦安里仁愛路四段118號,20241031,203129
202410311,路樹處理,中山區臺北市臺北市中山區朱園里建國北路一段146號,20241031,212958
202410311,路樹處理,松山區臺北市臺北市松山區民福里民權東路三段191巷77號,20241031,203110
202410311,路樹處理,中山區臺北市臺北市中山區大佳里松江路581巷1,20241031,202916
202410311,道路散落物或油漬處理,松山區長春路351號,20241031,202911
202410311,路樹處理,文山區臺北市臺北市文山區景仁里景福街21巷5號,20241031,202854
202410311,路樹處理,大同區臺北市大同區延平北路四段294巷15號,20241031,202826
202410311,路樹處理,文山區116台灣台北市文山區指南路二段219號,20241031,202809
202410311,路樹處理,松山區健康路174號,20241031,202746
202410311,路樹處理,松山區臺北市臺北市松山區新益里撫遠街306號,20241031,202652
202410311,路樹處理,大安區臺北市臺北市大安區光信里光復南路574之1之1號,20241031,202504
202410311,路樹處理,松山區臺北市臺北市松山區三民里三民路113巷1之1號,20241031,202402
202410311,路樹處理,中山區建國北路三段98號,20241031,202300
202410311,大型廢棄物清運聯繫,文山區臺北市文山區樟樹里011鄰興隆路四段１２２巷８弄２號四樓,20241031,202513
202410311,路樹處理,松山區臺北市臺北市松山區新益里撫遠街,20241031,201946
202410311,路樹處理,大安區臺北市臺北市大安區敦煌里仁愛路四段266–298,20241031,201922
202410311,路樹處理,松山區健康路156號,20241031,201730
202410311,路燈不亮或損壞,文山區116台灣台北市文山區興隆路三段123-6號,20241031,201621
202410311,道路散落物或油漬處理,信義區110台灣台北市信義區福德街216 樓3號,20241031,201525
202410311,道路散落物或油漬處理,松山區臺北市臺北市松山區中正里南京東路三段338巷1,20241031,201205
202410311,路樹處理,大同區臺北市大同區延平北路四段294巷3號後方,20241031,201131
202410311,大型廢棄物清運聯繫,松山區臺北市松山區新聚里030鄰南京東路五段２００號七樓之12,20241031,201043
202410311,道路散落物或油漬處理,松山區臺北市臺北市松山區安平里南京東路五段251巷,20241031,200838
202410311,路樹處理,松山區臺北市臺北市松山區精忠里民生東路四段97巷4弄13號,20241031,200715
202410311,大型廢棄物清運聯繫,大同區103台灣台北市大同區太原路115巷17號,20241031,200640
202410311,路樹處理,松山區臺北市臺北市松山區中華里敦化北路,20241031,200532
202410311,路樹處理,松山區臺北市臺北市松山區新東里新東街18號,20241031,200409
202410311,路樹處理,信義區110台灣台北市信義區虎林街164巷23 樓3號,20241031,200241
202410311,路樹處理,松山區八德路四段650號,20241031,200200
202410311,路樹處理,信義區110台灣台北市信義區松德路200巷57號雅仕閣公寓大廈,20241031,200152
202410311,路樹處理,信義區110台灣台北市信義區虎林街164巷58弄19號,20241031,200057
202410311,路樹處理,中山區臺北市臺北市中山區下埤里民權東路三段27號,20241031,200045
202410311,路樹處理,松山區八德路四段633號,20241031,200031
202410311,路樹處理,中正區100台灣台北市中正區和平西路一段100號,20241031,200018
202410311,路燈不亮或損壞,松山區民權東路三段104號,20241031,195954
202410311,路燈不亮或損壞,文山區臺北市臺北市文山區萬美里萬和街,20241031,195659
202410311,路樹處理,信義區110台灣台北市信義區虎林街164巷31號,20241031,195556
202410311,路樹處理,文山區台北市文山區木新路二段79巷10號,20241031,195517
202410311,路燈不亮或損壞,文山區臺北市臺北市文山區木柵里木柵路三段85巷12號,20241031,195402
202410311,路燈不亮或損壞,松山區麥帥一橋,20241031,195424
202410311,交通號誌電纜線垂落及設施損壞,大同區臺北市大同區重慶里重慶北路三段295巷24號,20241031,195327
202410311,路樹處理,信義區110台灣台北市信義區松德路215號,20241031,195313
202410311,大型廢棄物清運聯繫,大安區忠孝東路三段276巷口,20241031,195132
202410311,路樹處理,信義區台北市信義區信義路五段150巷22弄15號,20241031,195034
202410311,路樹處理,信義區松德路223號,20241031,194926
202410311,路樹處理,信義區110台灣台北市信義區松勇路91號,20241031,194902
202410311,道路散落物或油漬處理,士林區111台灣台北市士林區德行東路6-6號,20241031,194728
202410311,路樹處理,中山區臺北市臺北市中山區建國北路三段117號,20241031,194542
202410311,路樹處理,士林區士林區天玉街17號,20241031,194407
202410311,路樹處理,信義區臺北市臺北市信義區安康里信義路六段15巷30,20241031,194234
202410311,路樹處理,南港區臺北市臺北市南港區三重路3號,20241031,194224
202410311,路樹處理,松山區臺北市臺北市松山區富錦里民生東路五段191號,20241031,193223
202410311,路樹處理,信義區臺北市臺北市信義區安康里松仁路7號,20241031,192915
202410311,路樹處理,信義區110台灣台北市信義區松德路159-2號,20241031,192811
202410311,路樹處理,士林區士林區忠誠路二段與德行東路口,20241031,192527
202410311,路樹處理,松山區105台灣台北市松山區敦化北路100號,20241031,192414
202410311,大型廢棄物清運聯繫,文山區臺北市文山區樟樹里011鄰興隆路四段１２２巷８弄２號四樓,20241031,192243
202410311,大型廢棄物清運聯繫,南港區115台灣台北市南港區舊莊街一段240-1號,20241031,191211
202410311,路樹處理,士林區環河北路三段95號,20241031,190957
202410311,路樹處理,松山區105台灣台北市松山區光復北路82號7樓,20241031,190343
202410311,大型廢棄物清運聯繫,士林區111台灣台北市士林區雨農路6號,20241031,185938
202410311,路樹處理,萬華區臺北市臺北市萬華區銘德里環河快速道路,20241031,185449
202410311,交通號誌電纜線垂落及設施損壞,信義區臺北市臺北市信義區景聯里基隆路二段79巷4弄2之1號,20241031,184317
202410311,路樹處理,信義區110台灣台北市信義區忠孝東路五段236巷29號,20241031,183937
202410311,用戶無水、漏水報修,萬華區臺北市萬華區華江里011鄰環河南路二段２７４之２號,20241031,183913
202410311,路樹處理,松山區塔悠路35號,20241031,183643
202410311,路樹處理,松山區長春路337號,20241031,183329
202410311,路樹處理,北投區大業路18號,20241031,183301
202410311,場所與設施噪音舉發,士林區111台灣台北市士林區文林路615巷20號,20241031,182958
202410311,路樹處理,士林區111台灣台北市士林區中山北路五段712號,20241031,182829
202410311,路樹處理,文山區台北市文山區秀明路一段119巷旁,20241031,181943
202410311,路樹處理,文山區臺北市臺北市文山區政大里指南路二段221之2號,20241031,181629
202410311,路樹處理,北投區大業路525巷36號,20241031,180932
202410311,路樹處理,中正區100台灣台北市中正區辛亥路一段9號,20241031,180833
202410311,路樹處理,信義區信義區松仁路信義國中前人行道和道路,20241031,180724
202410311,路樹處理,大同區民生西路205號,20241031,180511
202410311,路樹處理,中正區100台灣台北市中正區泉州街32號,20241031,175847
202410311,路樹處理,大同區臺北市臺北市中山區圓山里玉門街1,20241031,175754
202410311,路樹處理,文山區臺北市臺北市文山區萬興里新光路一段30,20241031,175530
202410311,交通號誌電纜線垂落及設施損壞,文山區台北市文山區木新路二段79巷6弄23號,20241031,174529
202410311,路樹處理,松山區八德路四段801號,20241031,173802
202410311,橋梁、隧道、車(人)行地下道及涵洞積淹水,大同區103台灣台北市大同區重慶北路三段320號,20241031,173510
202410311,路燈不亮或損壞,中正區100台灣台北市中正區重慶南路一段142號,20241031,173141
202410311,路樹處理,大安區臺北市臺北市大安區民炤里仁愛路三段2號,20241031,173127
202410311,路樹處理,松山區臺北市臺北市松山區富泰里三民路,20241031,172839
202410311,大型廢棄物清運聯繫,中正區臺北市中正區幸福里012鄰忠孝東路二段３６號三樓,20241031,172814
202410311,大型廢棄物清運聯繫,中山區臺北市中山區集英里018鄰撫順街２之２號4樓,20241031,172725
202410311,場所與設施噪音舉發,松山區臺北市松山區三民里022鄰民生東路五段１５３號,20241031,172706
202410311,路燈不亮或損壞,文山區臺北市臺北市文山區樟腳里恆光街22巷,20241031,172424
202410311,路燈不亮或損壞,北投區臺北市北投區裕民里010鄰東陽街４１１巷１１號,20241031,172011
202410311,路樹處理,大安區106台灣台北市大安區永康街75巷39號,20241031,171313
202410311,路樹處理,中正區100台灣台北市中正區泉州街32號,20241031,170509
