案件編號,派工項目,案件地址,立案日期,立案時間
202310010,場所與設施噪音舉發,信義區臺北市信義區松隆里003鄰福德街５１巷１１之１號,20231001,000400
202310010,道路側溝溝蓋(含周邊)損壞遺失,文山區臺北市文山區華興里027鄰木柵路一段３７４號,20231001,000400
202310010,污染舉發,萬華區108台灣台北市萬華區環河南路三段233號,20231001,000300
202310010,污染舉發,士林區臺北市士林區義信里003鄰大南路４１號,20231001,001000
202310010,場所與設施噪音舉發,士林區臺北市士林區義信里003鄰大南路４１號,20231001,001000
202310010,大型廢棄物清運聯繫,萬華區108台灣台北市萬華區貴陽街二段57號,20231001,002500
202310010,污染舉發,萬華區臺北市萬華區和德里003鄰西藏路２４９號,20231001,002900
202310010,場所與設施噪音舉發,信義區忠孝東路五段-松信路,20231001,003000
202310010,場所與設施噪音舉發,信義區110台灣台北市信義區松壽路12號,20231001,004300
202310010,污染舉發,士林區臺北市士林區天母里001鄰中山北路七段１９０巷２７之１號,20231001,004600
202310010,場所與設施噪音舉發,信義區臺北市信義區雙和里001鄰吳興街２８４巷３之１號,20231001,005100
202310010,場所與設施噪音舉發,松山區臺北市松山區復盛里016鄰市民大道五段３７號,20231001,005800
202310010,場所與設施噪音舉發,大安區臺北市大安區車層里025鄰仁愛路四段３７７號,20231001,005700
202310010,交通標誌及設施物損壞(含汙損)、傾斜,中山區中山北路三段,20231001,010000
202310010,場所與設施噪音舉發,信義區光復南路-市民大道五段,20231001,010500
202310010,大型廢棄物清運聯繫,內湖區臺北市內湖區內湖里012鄰成功路三段１７４巷１７弄１號,20231001,011500
202310010,場所與設施噪音舉發,中山區臺北市中山區正得里001鄰中山北路一段５７之３號,20231001,012900
202310010,場所與設施噪音舉發,松山區TPE臺北市松山區復盛里市民大道五段1號,20231001,013500
202310010,場所與設施噪音舉發,士林區延平北路五段257巷4弄,20231001,014000
202310010,場所與設施噪音舉發,士林區葫蘆街,20231001,014300
202310010,場所與設施噪音舉發,中正區臺北市中正區忠勤里029鄰惠安街３５號,20231001,015300
202310010,交通標誌及設施物損壞(含汙損)、傾斜,中山區TPE臺北市中山區大直里大直街2巷,20231001,015200
202310010,場所與設施噪音舉發,松山區TPE臺北市松山區安平里健康路442號,20231001,022500
202310010,道路散落物或油漬處理,南港區臺北市南港區南港里003鄰南港路一段２０１號,20231001,022700
202310010,道路散落物或油漬處理,士林區重陽橋,20231001,023500
202310010,污染舉發,松山區臺北市松山區三民里026鄰民生東路五段１３７巷６弄１５號,20231001,024400
202310010,路燈故障或設施損壞,士林區TPE臺北市士林區義信里承德路四段181號,20231001,031900
202310010,道路散落物或油漬處理,北投區大興路 大業路,20231001,034600
202310010,道路散落物或油漬處理,士林區中山北路七段-天母東路,20231001,044600
202310010,道路散落物或油漬處理,大安區基隆路二段-樂業街,20231001,052500
202310010,污染舉發,中山區臺北市中山區正義里009鄰新生北路一段１０８號,20231001,054700
202310010,鄰里無主垃圾清運,萬華區臺北市萬華區頂碩里016鄰莒光路１６６巷１１號,20231001,055800
202310010,大型廢棄物清運聯繫,萬華區臺北市萬華區糖?里015鄰大理街１４６號,20231001,061500
202310010,污染舉發,士林區臺北市士林區永福里010鄰永公路４０巷２８號,20231001,063500
202310010,路燈故障或設施損壞,信義區臺北市信義區黎順里002鄰信安街１０３巷１０號,20231001,065700
202310010,場所與設施噪音舉發,士林區承德路四段80巷,20231001,074200
202310010,交通號誌異常,大同區臺北市大同區玉泉里002鄰塔城街３８號,20231001,074900
202310010,場所與設施噪音舉發,中山區臺北市中山區圓山里012鄰雙城街４９巷９之６號,20231001,075100
202310010,場所與設施噪音舉發,信義區基隆路一段380巷,20231001,075400
202310010,污染舉發,士林區臺北市士林區天福里009鄰忠誠路二段１５４巷２３弄１之２號,20231001,082700
202310010,污染舉發,北投區大業路527巷75弄10號,20231001,083000
202310010,場所與設施噪音舉發,信義區臺北市信義區四育里018鄰虎林街３６號,20231001,084000
202310010,大型廢棄物清運聯繫,松山區臺北市松山區民有里019鄰民權東路三段１６０巷１５號,20231001,085400
202310010,鄰里無主垃圾清運,文山區景仁街79巷,20231001,085900
202310010,鄰里無主垃圾清運,士林區臺北市士林區福德里006鄰中正路３１５號,20231001,090600
202310010,大型廢棄物清運聯繫,文山區臺北市文山區興家里010鄰興隆路三段２０７巷１４弄８號,20231001,090800
202310010,場所與設施噪音舉發,萬華區青年路186號,20231001,091200
202310010,污染舉發,北投區112台灣台北市北投區承德路七段393巷55-33號,20231001,092200
202310010,鄰里無主垃圾清運,內湖區臺北市內湖區港富里015鄰港墘路２１號,20231001,092500
202310010,大型廢棄物清運聯繫,信義區臺北市信義區中坡里004鄰福德街１３７巷１７弄３號,20231001,092900
202310010,大型廢棄物清運聯繫,大安區臺北市大安區大學里011鄰羅斯福路三段３０１號,20231001,093200
202310010,大型廢棄物清運聯繫,北投區行義路241號,20231001,095700
202310010,道路散落物或油漬處理,士林區臺北市士林區舊佳里020鄰文林路５３２號,20231001,094000
202310010,場所與設施噪音舉發,內湖區臺北市內湖區安泰里014鄰安泰街１３１巷１５號,20231001,095400
202310010,場所與設施噪音舉發,大同區重慶北路二段57巷17號,20231001,095600
202310010,大型廢棄物清運聯繫,松山區105台灣台北市松山區光復北路60巷34號,20231001,100200
202310010,大型廢棄物清運聯繫,大安區TPE臺北市大安區龍門里建國南路二段290號,20231001,101400
202310010,大型廢棄物清運聯繫,大安區臺北市大安區永康里007鄰麗水街１６巷５號,20231001,102400
202310010,道路散落物或油漬處理,中山區市民大道二段-中山北路一段,20231001,102500
202310010,大型廢棄物清運聯繫,北投區臺北市北投區八仙里004鄰北投路一段４５號,20231001,102800
202310010,大型廢棄物清運聯繫,中正區臺北市中正區三愛里029鄰臨沂街６３巷１３之３號,20231001,103000
202310010,大型廢棄物清運聯繫,士林區臺北市士林區社子里006鄰社中街７２號,20231001,103500
202310010,道路散落物或油漬處理,萬華區環河快速道路匝道,20231001,103300
202310010,大型廢棄物清運聯繫,松山區臺北市松山區民福里005鄰復興北路４２７巷５號,20231001,104000
202310010,大型廢棄物清運聯繫,內湖區臺北市內湖區紫雲里018鄰康寧路一段２６７號,20231001,104100
202310010,大型廢棄物清運聯繫,士林區臺北市士林區天母里001鄰中山北路七段１９０巷２７之１號,20231001,104400
202310010,污染舉發,士林區士林區延平北路七段176巷123號,20231001,105100
202310010,場所與設施噪音舉發,松山區南京東路五段32號,20231001,104500
202310010,大型廢棄物清運聯繫,文山區臺北市文山區景華里002鄰羅斯福路六段２２５號,20231001,104500
202310010,大型廢棄物清運聯繫,松山區臺北市松山區新聚里010鄰南京東路五段２６２號,20231001,105200
202310010,用戶無水、漏水報修,大安區106台灣台北市大安區長興街80巷31號,20231001,105700
202310010,大型廢棄物清運聯繫,北投區臺北市北投區稻香里014鄰稻香路１７２號,20231001,110400
202310010,大型廢棄物清運聯繫,大安區TPE臺北市大安區龍門里建國南路二段296號,20231001,110300
202310010,大型廢棄物清運聯繫,中山區臺北市中山區朱馥里026鄰興安街８０巷８號,20231001,111000
202310010,大型廢棄物清運聯繫,松山區臺北市松山區慈祐里022鄰八德路四段６６０號,20231001,111000
202310010,污染舉發,中山區臺北市中山區埤頭里017鄰復興南路一段４４號,20231001,111200
202310010,大型廢棄物清運聯繫,中山區臺北市中山區新生里009鄰民權東路二段９２巷７弄１９號,20231001,111700
202310010,大型廢棄物清運聯繫,內湖區臺北市內湖區石潭里003鄰民權東路六段２０６巷１４３弄１號,20231001,112400
202310010,大型廢棄物清運聯繫,南港區臺北市南港區成福里022鄰成福路１４９巷１０弄７號,20231001,112600
202310010,大型廢棄物清運聯繫,松山區臺北市松山區民有里009鄰民權東路三段１０６巷１５弄６號,20231001,112700
202310010,大型廢棄物清運聯繫,萬華區臺北市萬華區新起里021鄰長沙街二段７６號,20231001,112900
202310010,大型廢棄物清運聯繫,松山區臺北市松山區東光里018鄰南京東路五段５９巷２７之３號,20231001,113400
202310010,道路散落物或油漬處理,內湖區臺北市內湖區週美里002鄰新明路１７４巷２號,20231001,114000
202310010,交通號誌異常,北投區稻香路1號,20231001,114500
202310010,大型廢棄物清運聯繫,士林區111台灣台北市士林區通河西街二段126號,20231001,114600
202310010,大型廢棄物清運聯繫,萬華區臺北市萬華區新起里019鄰長沙街二段９號,20231001,120500
202310010,污染舉發,中山區民權東路一段-林森北路,20231001,120400
202310010,道路散落物或油漬處理,士林區洲美快速道路,20231001,120500
202310010,交通標誌及設施物損壞(含汙損)、傾斜,大安區光復南路420巷-仁愛路四段408巷,20231001,121500
202310010,大型廢棄物清運聯繫,內湖區臺北市內湖區西康里005鄰內湖路一段４７巷１５之２號,20231001,123100
202310010,市區道路坑洞處理,北投區臺北市北投區榮華里013鄰明德路１５２號,20231001,123700
202310010,大型廢棄物清運聯繫,松山區臺北市松山區福成里007鄰敦化南路一段１００巷７弄３５號,20231001,124200
202310010,污染舉發,內湖區臺北市內湖區南湖里008鄰康寧路三段７０巷５１號,20231001,124300
202310010,大型廢棄物清運聯繫,中正區臺北市中正區文祥里017鄰杭州南路一段１０１巷２８之４號,20231001,130900
202310010,大型廢棄物清運聯繫,士林區臺北市士林區社子里019鄰社正路４５巷２１號,20231001,131400
202310010,大型廢棄物清運聯繫,文山區臺北市文山區樟林里011鄰下崙路２８巷１６號,20231001,131200
202310010,大型廢棄物清運聯繫,中山區臺北市中山區正義里002鄰長安東路一段６３號,20231001,131700
202310010,市區道路坑洞處理,士林區中正路-雨農路,20231001,131900
202310010,用戶無水、漏水報修,松山區敦化北路-南京東路四段,20231001,131900
202310010,場所與設施噪音舉發,松山區臺北市松山區安平里012鄰南京東路五段３２號,20231001,132000
202310010,大型廢棄物清運聯繫,大安區臺北市大安區龍生里010鄰瑞安街１３５巷１８號,20231001,132200
202310010,用戶無水、漏水報修,松山區敦化北路-南京東路三段,20231001,132800
202310010,場所與設施噪音舉發,信義區臺北市信義區敦厚里022鄰基隆路一段１３５號,20231001,134900
202310010,大型廢棄物清運聯繫,文山區臺北市文山區興安里015鄰仙岩路１６巷４６之２號,20231001,135100
202310010,交通號誌電纜線垂落及設施損壞,內湖區114台灣台北市內湖區堤頂大道一段9號,20231001,135000
202310010,大型廢棄物清運聯繫,內湖區臺北市內湖區港華里011鄰港華街５１巷８弄１５號,20231001,135100
202310010,大型廢棄物清運聯繫,內湖區114台灣台北市內湖區東湖路106巷9弄36號,20231001,135500
202310010,道路散落物或油漬處理,萬華區華江橋,20231001,135700
202310010,大型廢棄物清運聯繫,士林區臺北市士林區芝山里023鄰德行東路２８３巷３弄３號,20231001,135800
202310010,場所與設施噪音舉發,中山區臺北市中山區朱園里023鄰八德路二段８５號,20231001,140200
202310010,大型廢棄物清運聯繫,松山區臺北市松山區民有里009鄰民權東路三段１０６巷１５弄８號,20231001,141300
202310010,大型廢棄物清運聯繫,大安區臺北市大安區民炤里011鄰新生南路一段１６５巷２６號,20231001,141500
202310010,動物救援,北投區臺北市北投區永和里019鄰行義路１３７巷５之３號,20231001,141600
202310010,大型廢棄物清運聯繫,中山區臺北市中山區江山里001鄰合江街１０２巷４６號,20231001,142300
202310010,交通號誌電纜線垂落及設施損壞,松山區光復北路-健康路,20231001,143100
202310010,大型廢棄物清運聯繫,內湖區臺北市內湖區東湖里009鄰康樂街７６巷７號,20231001,143600
202310010,鄰里無主垃圾清運,松山區105台灣台北市松山區塔悠路134號,20231001,145500
202310010,大型廢棄物清運聯繫,文山區臺北市文山區明興里015鄰秀明路一段１９巷３弄５號,20231001,145800
202310010,大型廢棄物清運聯繫,松山區臺北市松山區新聚里016鄰八德路四段３４５號,20231001,150100
202310010,場所與設施噪音舉發,中山區臺北市中山區中原里012鄰新生北路二段７３號,20231001,150400
202310010,場所與設施噪音舉發,萬華區臺北市萬華區和德里007鄰西園路二段３２０巷１９號,20231001,150500
202310010,大型廢棄物清運聯繫,中山區臺北市中山區集英里006鄰中山北路二段９６巷１９號,20231001,150700
202310010,大型廢棄物清運聯繫,大同區臺北市大同區星明里005鄰南京西路１０７巷４號,20231001,150700
202310010,大型廢棄物清運聯繫,松山區臺北市松山區復源里001鄰光復南路２２巷４７號,20231001,150700
202310010,大型廢棄物清運聯繫,文山區臺北市文山區景仁里013鄰景仁街２４巷１號,20231001,150700
202310010,大型廢棄物清運聯繫,士林區臺北市士林區社新里015鄰延平北路六段２０５號,20231001,151000
202310010,大型廢棄物清運聯繫,中山區臺北市中山區龍洲里018鄰民生東路三段９０號,20231001,151300
202310010,大型廢棄物清運聯繫,中山區臺北市中山區江寧里003鄰合江街１７０巷６號,20231001,151500
202310010,大型廢棄物清運聯繫,大安區臺北市大安區建倫里014鄰仁愛路四段１５１巷３９號,20231001,151600
202310010,大型廢棄物清運聯繫,大安區忠孝東路三段251巷1弄5號,20231001,152600
202310010,動物救援,萬華區臺北市萬華區榮德里004鄰武成街１２５巷６弄３１號,20231001,153800
202310010,大型廢棄物清運聯繫,中山區臺北市中山區金泰里003鄰樂群二路１９８號,20231001,153300
202310010,大型廢棄物清運聯繫,文山區臺北市文山區政大里020鄰萬壽路７５號,20231001,154100
202310010,大型廢棄物清運聯繫,北投區臺北市北投區智仁里019鄰中和街５０７巷６弄６號,20231001,154200
202310010,大型廢棄物清運聯繫,士林區臺北市士林區舊佳里015鄰後街２１巷３６號,20231001,154600
202310010,大型廢棄物清運聯繫,中山區臺北市中山區行仁里001鄰五常街４３號,20231001,154700
202310010,大型廢棄物清運聯繫,大同區臺北市大同區永樂里014鄰延平北路二段６２號,20231001,154700
202310010,大型廢棄物清運聯繫,文山區臺北市文山區樟新里012鄰木新路三段３０３巷２弄４號,20231001,155200
202310010,大型廢棄物清運聯繫,士林區臺北市士林區三玉里016鄰忠誠路二段２號,20231001,155700
202310010,動物救援,北投區臺北市北投區永和里019鄰行義路１３７巷５之２號,20231001,160300
202310010,大型廢棄物清運聯繫,中正區100台灣台北市中正區林森北路9巷23-1號,20231001,161200
202310010,大型廢棄物清運聯繫,信義區松山路492號,20231001,161500
202310010,大型廢棄物清運聯繫,內湖區臺北市內湖區金湖里006鄰金湖路３２６巷６１號,20231001,161400
202310010,大型廢棄物清運聯繫,士林區111台灣台北市士林區中正路601號,20231001,161400
202310010,大型廢棄物清運聯繫,內湖區臺北市內湖區港都里012鄰港華街７４號,20231001,161800
202310010,場所與設施噪音舉發,信義區臺北市信義區黎忠里015鄰和平東路三段３９１巷２０弄３３號,20231001,162200
202310010,大型廢棄物清運聯繫,南港區臺北市南港區東新里019鄰興南街１５６號,20231001,163100
202310010,大型廢棄物清運聯繫,松山區臺北市松山區龍田里038鄰延壽街３３０巷１２號,20231001,163500
202310010,鄰里無主垃圾清運,士林區中正路-福榮街,20231001,163800
202310010,用戶無水、漏水報修,大安區臺北市大安區民炤里020鄰建國南路一段２８６巷２１號,20231001,164200
202310010,大型廢棄物清運聯繫,中正區臺北市中正區廈安里001鄰和平西路二段１４２號,20231001,170700
202310010,污染舉發,大安區臺北市大安區華聲里018鄰延吉街９７巷１號,20231001,170500
202310010,動物救援,內湖區洲子街114號,20231001,170400
202310010,大型廢棄物清運聯繫,士林區臺北市士林區社園里026鄰社中街３０７號,20231001,170800
202310010,大型廢棄物清運聯繫,北投區臺北市北投區中和里008鄰中和街３８６號,20231001,170800
202310010,大型廢棄物清運聯繫,內湖區臺北市內湖區明湖里019鄰康寧路三段１８９巷８０弄３０號,20231001,171200
202310010,大型廢棄物清運聯繫,士林區臺北市士林區百齡里006鄰華齡街７２號,20231001,171300
202310010,大型廢棄物清運聯繫,內湖區臺北市內湖區紫陽里017鄰陽光街９２巷２５弄７號,20231001,171600
202310010,大型廢棄物清運聯繫,松山區臺北市松山區莊敬里012鄰撫遠街３７６巷３號,20231001,171900
202310010,大型廢棄物清運聯繫,松山區臺北市松山區吉祥里021鄰南京東路五段６６巷１６號,20231001,171800
202310010,大型廢棄物清運聯繫,內湖區臺北市內湖區港富里023鄰內湖路二段５４號,20231001,172100
202310010,大型廢棄物清運聯繫,信義區臺北市信義區三張里016鄰吳興街２８１巷４４號,20231001,172300
202310010,大型廢棄物清運聯繫,南港區臺北市南港區舊莊里017鄰舊莊街一段２９０巷１弄１６號,20231001,173000
202310010,污染舉發,南港區臺北市南港區聯成里004鄰忠孝東路六段２１２巷２弄５號,20231001,172600
202310010,污染舉發,士林區臺北市士林區德行里010鄰福國路７１號,20231001,173000
202310010,道路散落物或油漬處理,中正區臺北市中正區忠勤里031鄰西藏路１５號,20231001,173000
202310010,用戶無水、漏水報修,中山區臺北市中山區集英里020鄰撫順街６之１號,20231001,173700
202310010,大型廢棄物清運聯繫,大安區臺北市大安區義安里017鄰敦化南路二段８１巷４５弄１５號,20231001,173700
202310010,大型廢棄物清運聯繫,內湖區臺北市內湖區湖元里003鄰民權東路六段１２０巷７弄７號,20231001,174500
202310010,大型廢棄物清運聯繫,萬華區臺北市萬華區頂碩里029鄰西藏路２０２號,20231001,174600
202310010,大型廢棄物清運聯繫,內湖區臺北市內湖區葫洲里015鄰民權東路六段２９６巷３２號,20231001,174800
202310010,大型廢棄物清運聯繫,南港區臺北市南港區西新里005鄰昆陽街８８號,20231001,175800
202310010,大型廢棄物清運聯繫,大安區臺北市大安區光武里006鄰敦化南路一段１９０巷５５號,20231001,175900
202310010,大型廢棄物清運聯繫,中山區臺北市中山區永安里008鄰北安路４５８巷４１弄２２號,20231001,175900
202310010,大型廢棄物清運聯繫,大安區臺北市大安區黎孝里024鄰臥龍街２２０號,20231001,180000
202310010,大型廢棄物清運聯繫,松山區臺北市松山區復盛里023鄰八德路四段２０４巷６弄５號,20231001,180900
202310010,污染舉發,信義區臺北市信義區四維里013鄰虎林街７４巷２２號,20231001,180800
