案件編號,派工項目,案件地址,立案日期,立案時間
202403010,大型廢棄物清運聯繫,大安區臺北市大安區通化里019鄰光復南路６９２巷１８號,20240301,000400
202403010,場所與設施噪音舉發,大安區臺北市大安區車層里021鄰仁愛路四段３４５巷１５弄３號,20240301,000700
202403010,場所與設施噪音舉發,中山區臺北市中山區正義里004鄰林森北路８５巷４３號,20240301,003300
202403010,場所與設施噪音舉發,中山區臺北市中山區晴光里013鄰雙城街３２巷４之１號,20240301,005200
202403010,路燈故障或設施損壞,文山區116台灣台北市文山區木新路二段156-1號,20240301,005500
202403010,場所與設施噪音舉發,文山區臺北市文山區萬隆里019鄰萬隆街２９巷６號,20240301,010300
202403010,場所與設施噪音舉發,中山區臺北市中山區民安里010鄰南京西路１之２號,20240301,012100
202403010,大型廢棄物清運聯繫,大安區臺北市大安區住安里011鄰信義路四段６０之１１０號,20240301,013500
202403010,場所與設施噪音舉發,士林區111台灣台北市士林區大東路12號,20240301,014600
202403010,場所與設施噪音舉發,中山區臺北市中山區中山里014鄰民生東路一段８０號,20240301,015500
202403010,場所與設施噪音舉發,中山區臺北市中山區民安里010鄰南京西路１之２號,20240301,022200
202403010,場所與設施噪音舉發,中山區臺北市中山區正義里008鄰林森北路１０７巷６２號,20240301,025500
202403010,污染舉發,中正區臺北市中正區梅花里014鄰市民大道三段２號,20240301,032000
202403010,場所與設施噪音舉發,中正區臺北市中正區梅花里014鄰市民大道三段２號,20240301,032000
202403010,污染舉發,大安區106台灣台北市大安區敦化南路二段63巷7號,20240301,032200
202403010,場所與設施噪音舉發,大安區臺北市大安區正聲里012鄰仁愛路四段４１７之１號,20240301,041100
202403010,道路散落物或油漬處理,中正區基隆路四段-羅斯福路四段,20240301,060800
202403010,場所與設施噪音舉發,萬華區萬大路618巷,20240301,063200
202403010,場所與設施噪音舉發,中山區臺北市中山區中庄里009鄰吉林路２３６巷３５號,20240301,070300
202403010,場所與設施噪音舉發,內湖區陽光街265巷-瑞光路,20240301,071400
202403010,交通號誌異常,文山區羅斯福路六段-育英街,20240301,072200
202403010,交通號誌異常,信義區臺北市信義區安康里025鄰信義路六段１１號,20240301,073200
202403010,污染舉發,信義區基隆路二段147號,20240301,075000
202403010,道路散落物或油漬處理,士林區臺北市士林區三玉里005鄰芝玉路二段６１巷８號,20240301,080200
202403010,用戶無水、漏水報修,中山區臺北市中山區圓山里009鄰雙城街３７巷９號,20240301,082200
202403010,污染舉發,信義區臺北市信義區四育里003鄰松隆路２９４號,20240301,082300
202403010,道路散落物或油漬處理,信義區吳興街583巷,20240301,082900
202403010,交通號誌異常,松山區TPE臺北市松山區安平里南京東路五段361–387,20240301,082700
202403010,鄰里無主垃圾清運,士林區陽明路一段24巷,20240301,083500
202403010,鄰里無主垃圾清運,士林區111台灣台北市士林區平菁街160號,20240301,083800
202403010,場所與設施噪音舉發,士林區臺北市士林區後港里025鄰承德路五段５６號,20240301,084000
202403010,鄰里無主垃圾清運,士林區111台灣台北市士林區大坪尾一,20240301,084100
202403010,鄰里無主垃圾清運,士林區111台灣台北市士林區平菁街140號,20240301,084300
202403010,污染舉發,中正區臺北市中正區水源里001鄰羅斯福路四段５０之１號,20240301,085500
202403010,鄰里無主垃圾清運,大同區延平北路二段144巷,20240301,085800
202403010,鄰里無主垃圾清運,中山區臺北市中山區大佳里004鄰濱江街２６０號,20240301,085600
202403010,大型廢棄物清運聯繫,內湖區臺北市內湖區紫星里032鄰星雲街１７之２號,20240301,085900
202403010,場所與設施噪音舉發,文山區保儀路13巷,20240301,090600
202403010,市區道路坑洞處理,大同區臺北市大同區斯文里017鄰承德路三段９７號,20240301,090600
202403010,場所與設施噪音舉發,文山區TPE臺北市文山區萬興里新光路一段32巷4弄17號,20240301,091000
202403010,大型廢棄物清運聯繫,大安區臺北市大安區錦安里003鄰金華街１４０之１號,20240301,091400
202403010,市區道路坑洞處理,北投區112台灣台北市北投區復興三路200號,20240301,091700
202403010,大型廢棄物清運聯繫,大安區臺北市大安區敦煌里016鄰仁愛路四段２６６巷１５弄１４號,20240301,091900
202403010,場所與設施噪音舉發,內湖區臺北市內湖區港華里013鄰港華街６９號,20240301,092700
202403010,大型廢棄物清運聯繫,士林區111台灣台北市士林區外雙溪(故宮),20240301,092900
202403010,用戶無水、漏水報修,南港區臺北市南港區成福里025鄰成福路２０９巷１號,20240301,093800
202403010,大型廢棄物清運聯繫,士林區臺北市士林區芝山里026鄰芝玉路二段５２巷３號,20240301,094400
