案件編號,派工項目,案件地址,立案日期,立案時間
2018030100001,場所與設施噪音舉發,萬華區(噪音來源為1樓店家：達人豆漿店),20180301,001200
2018030100002,路燈故障或設施損壞,北投區,20180301,001300
2018030100003,路燈故障或設施損壞,士林區對面堤防(東往西)與200號,20180301,001800
2018030100004,場所與設施噪音舉發,萬華區108台灣台北市萬華區貴陽街二段158號,20180301,002100
2018030100006,場所與設施噪音舉發,中山區近基湖路底地標:  美堤河濱公園 ,20180301,004100
2018030100007,污染舉發,信義區,20180301,004600
2018030100008,道路散落物或油漬處理,北投區往淡水方向的轉彎處(在橋的分岔處一個往淡水一個往大業)地標:  洲美快速道路,20180301,005400
2018030100009,場所與設施噪音舉發,中山區10491台灣台北市中山區林森北路145巷25號,20180301,004800
2018030100010,場所與設施噪音舉發,中山區地標:  大佳河濱公園,20180301,005700
2018030100011,場所與設施噪音舉發,信義區與松山路交叉口,20180301,012600
2018030100012,場所與設施噪音舉發,信義區,20180301,013600
2018030100013,場所與設施噪音舉發,信義區永和豆漿,20180301,020100
2018030100015,場所與設施噪音舉發,大同區大橋鮮魚號,20180301,031300
2018030100016,場所與設施噪音舉發,中山區對面鵝肉店,20180301,035300
2018030100017,場所與設施噪音舉發,北投區附近,20180301,045800
2018030100018,用戶無水、漏水報修,文山區,20180301,052200
2018030100019,鄰里無主垃圾清運,中山區前面的人行道,20180301,063800
2018030100020,場所與設施噪音舉發,文山區116台灣台北市文山區中崙路13號,20180301,064500
2018030100021,鄰里無主垃圾清運,大同區巷口,20180301,065500
2018030100022,鄰里無主垃圾清運,大同區巷口,20180301,065600
2018030100023,鄰里無主垃圾清運,大同區巷口,20180301,065800
2018030100024,交通號誌異常,中山區交叉路口:  一江街  南京東路二段,20180301,071600
2018030100025,大型廢棄物清運聯繫,萬華區,20180301,071600
2018030100026,鄰里無主垃圾清運,文山區萊爾富,20180301,071800
2018030100027,場所與設施噪音舉發,大安區,20180301,073100
2018030100028,鄰里無主垃圾清運,大安區前路邊,20180301,073300
2018030100029,污染舉發,大安區巷內,20180301,073700
2018030100030,大型廢棄物清運聯繫,中正區,20180301,074000
2018030100031,交通標誌及設施物損壞(含汙損)、傾斜,大同區103台灣台北市大同區承德路三段229號,20180301,074000
2018030100032,場所與設施噪音舉發,內湖區內湖高中,20180301,074500
2018030100033,市區道路坑洞處理,中正區林森南路車行地下道中正紀念堂下方,20180301,075400
2018030100034,大型廢棄物清運聯繫,萬華區,20180301,075600
2018030100035,交通號誌異常,士林區從忠義街口到忠誠路一段21號,20180301,080000
2018030100036,場所與設施噪音舉發,北投區隔壁(施工建物主體在17號,20180301,075600
2018030100037,鄰里無主垃圾清運,中山區10491台灣台北市中山區新生北路三段80號,20180301,080000
2018030100038,市區道路坑洞處理,中山區106台灣台北市大安區利築公寓大廈,20180301,080200
2018030100039,動物虐待傷害,內湖區114台灣台北市內湖區內湖路一段126號,20180301,080300
2018030100040,場所與設施噪音舉發,中山區隔壁,20180301,081000
2018030100041,市區道路坑洞處理,中山區10491台灣台北市中山區民族東路36號,20180301,080800
2018030100042,用戶無水、漏水報修,中正區林森南路上,20180301,081300
2018030100043,大型廢棄物清運聯繫,中正區,20180301,081800
2018030100044,大型廢棄物清運聯繫,內湖區,20180301,081800
2018030100045,場所與設施噪音舉發,信義區正後方,20180301,082000
2018030100046,道路散落物或油漬處理,松山區地標:  民權大橋靠近松山區下橋處的中間車道,20180301,082100
2018030100047,道路散落物或油漬處理,大安區81號,20180301,082600
2018030100048,大型廢棄物清運聯繫,松山區,20180301,083000
2018030100049,用戶無水、漏水報修,南港區,20180301,083300
2018030100050,用戶無水、漏水報修,大同區,20180301,083300
2018030100051,大型廢棄物清運聯繫,文山區,20180301,083200
2018030100052,交通標誌及設施物損壞(含汙損)、傾斜,中正區100台灣台北市中正區廈門街148號,20180301,083400
2018030100053,大型廢棄物清運聯繫,文山區,20180301,083500
2018030100054,大型廢棄物清運聯繫,松山區,20180301,083700
2018030100055,道路散落物或油漬處理,南港區南港高中前向陽路上,20180301,083700
2018030100056,場所與設施噪音舉發,信義區正對面的永春都更案,20180301,083900
2018030100057,場所與設施噪音舉發,大安區,20180301,084300
2018030100058,交通號誌電纜線垂落及設施損壞,士林區,20180301,084900
2018030100059,市區道路坑洞處理,大安區106台灣台北市大安區忠孝東路三段205號,20180301,084900
2018030100060,鄰里無主垃圾清運,萬華區108台灣台北市萬華區中華路二段606巷6號,20180301,085000
2018030100061,大型廢棄物清運聯繫,內湖區,20180301,085500
2018030100062,雨水下水道側溝清淤,信義區,20180301,085500
2018030100063,用戶無水、漏水報修,士林區旁邊,20180301,085600
2018030100064,大型廢棄物清運聯繫,中山區,20180301,085800
2018030100065,污染舉發,北投區112台灣台北市北投區泉源路242號,20180301,090000
2018030100066,路燈故障或設施損壞,大安區106台灣台北市大安區市民大道三段188號,20180301,090100
2018030100067,大型廢棄物清運聯繫,信義區,20180301,090600
2018030100068,市區道路坑洞處理,士林區111台灣台北市士林區社子街22巷47弄19號,20180301,090500
2018030100069,鄰里無主垃圾清運,中山區門口前路邊,20180301,090700
2018030100070,市區道路坑洞處理,中正區100台灣台北市中正區忠孝東路一段108號,20180301,090800
2018030100071,大型廢棄物清運聯繫,大安區,20180301,091200
2018030100072,大型廢棄物清運聯繫,中正區,20180301,091700
2018030100073,市區道路坑洞處理,中正區100台灣台北市中正區忠孝東路一段54號,20180301,091600
2018030100074,大型廢棄物清運聯繫,中正區,20180301,091800
2018030100075,市區道路坑洞處理,北投區往淡水方向,20180301,091700
2018030100076,交通標誌及設施物損壞(含汙損)、傾斜,內湖區114台灣台北市內湖區內湖路二段179巷41-1號,20180301,091700
2018030100077,市區道路坑洞處理,大安區高架松江路到建國南路之間南往北方向地標:  市民高架,20180301,091700
2018030100078,人孔蓋(含周邊)破損、遺失處理,北投區112台灣台北市北投區竹子湖路69號,20180301,091800
2018030100080,大型廢棄物清運聯繫,信義區,20180301,092300
2018030100081,污染舉發,信義區後面  益美自助餐和三張犁早餐吧,20180301,093600
2018030100082,市區道路坑洞處理,信義區高架上光復南路往永吉路方向在到下永吉路交流道前該路段中間地標:  市民高架,20180301,092100
2018030100083,市區道路坑洞處理,松山區105台灣台北市松山區新中街8巷21號,20180301,092400
2018030100084,人孔蓋(含周邊)破損、遺失處理,信義區110台灣台北市信義區信義路六段35號,20180301,092600
2018030100085,大型廢棄物清運聯繫,內湖區,20180301,092900
2018030100086,市區道路坑洞處理,萬華區108台灣台北市萬華區環河南路一段65號,20180301,092900
2018030100087,大型廢棄物清運聯繫,內湖區,20180301,093000
2018030100088,市區道路坑洞處理,中正區100台灣台北市中正區連雲街81號,20180301,093000
2018030100089,大型廢棄物清運聯繫,松山區,20180301,093200
2018030100090,路樹處理,北投區112台灣台北市北投區復興一路51-3號,20180301,093200
2018030100091,污染舉發,中山區,20180301,094400
2018030100092,市區道路坑洞處理,中正區100台灣台北市中正區國際觀光大樓,20180301,093300
2018030100093,交通號誌異常,中山區交叉路口:  南京東路  一江街(南京東路與一江街交叉口)一江街閃黃燈南京東路閃紅燈,20180301,093700
2018030100094,大型廢棄物清運聯繫,大安區,20180301,093700
2018030100095,大型廢棄物清運聯繫,士林區,20180301,094100
2018030100096,污染舉發,松山區冊子油飯專賣店,20180301,093800
2018030100097,市區道路坑洞處理,大同區103台灣台北市大同區寧夏路148號,20180301,094000
2018030100098,大型廢棄物清運聯繫,中山區,20180301,094100
